,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,18.0,46.0,0.0,2.0,0.041666666666666664,1.0,0.30303030303030304,0.7272727272727273,0.07999999999999999,0.10825317547305482,0.5546875
1,2.0,62.0,0.0,2.0,0.03125,1.0,0.06060606060606061,0.9696969696969697,0.06060606060606061,0.03125,0.9140625
2,30.0,34.0,0.0,2.0,0.05555555555555555,1.0,0.48484848484848486,0.5454545454545454,0.10526315789473684,0.1613743060919757,0.7265625
3,31.0,33.0,1.0,1.0,0.029411764705882353,0.5,0.48484848484848486,0.5151515151515151,0.05555555555555555,-0.005359330785703401,0.484375
4,2.0,62.0,0.0,2.0,0.03125,1.0,0.06060606060606061,0.9696969696969697,0.06060606060606061,0.03125,0.4609375
5,23.0,41.0,0.0,1.0,0.023809523809523808,1.0,0.36923076923076925,0.6461538461538462,0.046511627906976744,0.09250160873761935,0.84375
6,30.0,34.0,1.0,0.0,0.0,0.0,0.46153846153846156,0.5230769230769231,0.0,-0.1309087345221607,0.453125
7,36.0,28.0,0.0,1.0,0.034482758620689655,1.0,0.5692307692307692,0.4461538461538462,0.06666666666666667,0.13927150363278892,0.984375
8,28.0,36.0,0.0,1.0,0.02702702702702703,1.0,0.4461538461538462,0.5692307692307692,0.052631578947368425,0.10873970905021,0.484375
9,27.0,37.0,0.0,1.0,0.02631578947368421,1.0,0.4307692307692308,0.5846153846153846,0.05128205128205127,0.10536590380294059,0.84375
10,227.0,413.0,2.0,13.0,0.03007690858590293,0.85,0.36708624708624715,0.6496503496503496,0.05791227594654767,0.06417381414807252,0.675
