,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,39.0,25.0,1.0,1.0,0.038461538461538464,0.5,0.6060606060606061,0.3939393939393939,0.07142857142857144,0.03837128834468253,0.6953125
1,45.0,19.0,0.0,2.0,0.09523809523809523,1.0,0.7121212121212122,0.3181818181818182,0.17391304347826084,0.25877458475338283,0.7734375
2,45.0,19.0,2.0,0.0,0.0,0.0,0.6818181818181818,0.2878787878787879,0.0,-0.11239652451657149,0.578125
3,46.0,18.0,2.0,0.0,0.0,0.0,0.696969696969697,0.2727272727272727,0.0,-0.10825317547305482,0.28125
4,50.0,14.0,0.0,2.0,0.125,1.0,0.7878787878787878,0.24242424242424243,0.2222222222222222,0.3125,0.8828125
5,41.0,23.0,0.0,1.0,0.041666666666666664,1.0,0.6461538461538462,0.36923076923076925,0.07999999999999999,0.16337903272248042,0.890625
6,37.0,27.0,1.0,0.0,0.0,0.0,0.5692307692307692,0.4153846153846154,0.0,-0.10536590380294059,0.484375
7,46.0,18.0,0.0,1.0,0.05263157894736842,1.0,0.7230769230769231,0.2923076923076923,0.1,0.19449665130387478,0.890625
8,48.0,16.0,0.0,1.0,0.058823529411764705,1.0,0.7538461538461538,0.26153846153846155,0.1111111111111111,0.21004201260420147,0.953125
9,43.0,21.0,0.0,1.0,0.045454545454545456,1.0,0.676923076923077,0.3384615384615385,0.08695652173913045,0.17475632385488293,0.84375
10,440.0,200.0,6.0,9.0,0.045727595417997896,0.65,0.6854079254079254,0.31920745920745924,0.0845631469979296,0.1026304289790938,0.72734375
