,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,64.0,0.0,1.0,1.0,1.0,0.5,0.9848484848484849,0.015151515151515152,0.6666666666666666,0.7016464154456235,0.65625
1,64.0,0.0,2.0,0.0,0.0,0.0,0.9696969696969697,0.0,0.0,0.0,0.671875
2,64.0,0.0,1.0,1.0,1.0,0.5,0.9848484848484849,0.015151515151515152,0.6666666666666666,0.7016464154456235,0.8203125
3,63.0,1.0,2.0,0.0,0.0,0.0,0.9545454545454546,0.015151515151515152,0.0,-0.021926450482675733,0.359375
4,63.0,1.0,1.0,1.0,0.5,0.5,0.9696969696969697,0.030303030303030304,0.5,0.484375,0.9296875
5,59.0,5.0,1.0,0.0,0.0,0.0,0.9076923076923077,0.07692307692307693,0.0,-0.03608439182435161,0.640625
6,62.0,2.0,1.0,0.0,0.0,0.0,0.9538461538461539,0.03076923076923077,0.0,-0.0222717701593687,0.421875
7,62.0,2.0,1.0,0.0,0.0,0.0,0.9538461538461539,0.03076923076923077,0.0,-0.0222717701593687,0.59375
8,61.0,3.0,0.0,1.0,0.25,1.0,0.9538461538461539,0.06153846153846154,0.4,0.48814060474416593,1.0
9,63.0,1.0,1.0,0.0,0.0,0.0,0.9692307692307692,0.015384615384615385,0.0,-0.015625,0.40625
10,625.0,15.0,11.0,4.0,0.275,0.25,0.9602097902097902,0.029114219114219114,0.22333333333333333,0.2257629053009648,0.65
