,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,62.0,2.0,2.0,0.0,0.0,0.0,0.9393939393939394,0.030303030303030304,0.0,-0.03125,0.70703125
1,64.0,0.0,2.0,0.0,0.0,0.0,0.9696969696969697,0.0,0.0,0.0,0.7421875
2,64.0,0.0,2.0,0.0,0.0,0.0,0.9696969696969697,0.0,0.0,0.0,0.71875
3,62.0,2.0,2.0,0.0,0.0,0.0,0.9393939393939394,0.030303030303030304,0.0,-0.03125,0.4765625
4,63.0,1.0,2.0,0.0,0.0,0.0,0.9545454545454546,0.015151515151515152,0.0,-0.021926450482675733,0.70703125
5,60.0,4.0,1.0,0.0,0.0,0.0,0.9230769230769231,0.06153846153846154,0.0,-0.032009219983223994,0.46875
6,61.0,3.0,1.0,0.0,0.0,0.0,0.9384615384615385,0.046153846153846156,0.0,-0.027496334066503744,0.4765625
7,63.0,1.0,1.0,0.0,0.0,0.0,0.9692307692307692,0.015384615384615385,0.0,-0.015625,0.4921875
8,63.0,1.0,0.0,1.0,0.5,1.0,0.9846153846153847,0.03076923076923077,0.6666666666666666,0.701560760020114,0.9921875
9,63.0,1.0,1.0,0.0,0.0,0.0,0.9692307692307692,0.015384615384615385,0.0,-0.015625,0.4921875
10,625.0,15.0,14.0,1.0,0.05,0.1,0.9557342657342659,0.0244988344988345,0.06666666666666667,0.052637875548771064,0.62734375
