,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,15.0,19.0,0.0,2.0,0.09523809523809523,1.0,0.4722222222222222,0.5833333333333334,0.17391304347826084,0.20498001542269695,0.8014705882352942
1,14.0,20.0,0.0,2.0,0.09090909090909091,1.0,0.4444444444444444,0.6111111111111112,0.16666666666666669,0.19347649748797374,0.7205882352941176
2,15.0,19.0,0.0,1.0,0.05,1.0,0.45714285714285713,0.5714285714285714,0.09523809523809523,0.14852213144650114,0.9852941176470588
3,9.0,25.0,0.0,1.0,0.038461538461538464,1.0,0.2857142857142857,0.7428571428571429,0.07407407407407407,0.10090091909944687,0.6323529411764706
4,15.0,19.0,0.0,1.0,0.05,1.0,0.45714285714285713,0.5714285714285714,0.09523809523809523,0.14852213144650114,0.9852941176470588
5,15.0,19.0,0.0,1.0,0.05,1.0,0.45714285714285713,0.5714285714285714,0.09523809523809523,0.14852213144650114,0.9558823529411764
6,18.0,15.0,0.0,2.0,0.11764705882352941,1.0,0.5714285714285714,0.4857142857142857,0.21052631578947367,0.25332019855244947,0.7727272727272727
7,19.0,14.0,0.0,2.0,0.125,1.0,0.6,0.45714285714285713,0.2222222222222222,0.2682716849943299,0.7878787878787878
8,14.0,19.0,0.0,2.0,0.09523809523809523,1.0,0.45714285714285713,0.6,0.17391304347826084,0.20100756305184242,0.9696969696969696
9,9.0,24.0,0.0,2.0,0.07692307692307693,1.0,0.3142857142857143,0.7428571428571429,0.14285714285714288,0.14484136487558028,0.7878787878787878
10,143.0,193.0,0.0,16.0,0.07894169555934263,1.0,0.45166666666666655,0.5937301587301587,0.14498867942803867,0.1812364637823823,0.8399064171122994
