,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,15.0,19.0,1.0,1.0,0.05,0.5,0.4444444444444444,0.5555555555555556,0.09090909090909091,-0.02711630722733202,0.6176470588235294
1,14.0,20.0,1.0,1.0,0.047619047619047616,0.5,0.4166666666666667,0.5833333333333334,0.08695652173913042,-0.04099600308453939,0.5808823529411764
2,19.0,15.0,0.0,1.0,0.0625,1.0,0.5714285714285714,0.45714285714285713,0.11764705882352941,0.1868862503991005,0.7941176470588236
3,25.0,9.0,1.0,0.0,0.0,0.0,0.7142857142857143,0.2571428571428571,0.0,-0.10090091909944687,0.6323529411764706
4,19.0,15.0,0.0,1.0,0.0625,1.0,0.5714285714285714,0.45714285714285713,0.11764705882352941,0.1868862503991005,0.8235294117647058
5,18.0,16.0,0.0,1.0,0.058823529411764705,1.0,0.5428571428571428,0.4857142857142857,0.1111111111111111,0.17647058823529413,0.7941176470588236
6,17.0,16.0,2.0,0.0,0.0,0.0,0.4857142857142857,0.45714285714285713,0.0,-0.225912997889962,0.3939393939393939
7,15.0,18.0,2.0,0.0,0.0,0.0,0.42857142857142855,0.5142857142857142,0.0,-0.25332019855244947,0.4242424242424242
8,21.0,12.0,0.0,2.0,0.14285714285714285,1.0,0.6571428571428571,0.4,0.25,0.30151134457776363,0.8787878787878788
9,22.0,11.0,1.0,1.0,0.08333333333333333,0.5,0.6571428571428571,0.34285714285714286,0.14285714285714285,0.0815016078203043,0.7803030303030303
10,185.0,151.0,8.0,8.0,0.050763305322128846,0.55,0.5489682539682541,0.451031746031746,0.09171279842635341,0.028500961557783328,0.6719919786096257
