,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,34.0,0.0,2.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.9852941176470588
1,34.0,0.0,2.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.9779411764705883
2,34.0,0.0,1.0,0.0,0.0,0.0,0.9714285714285714,0.0,0.0,0.0,1.0
3,34.0,0.0,1.0,0.0,0.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.9852941176470589
4,34.0,0.0,1.0,0.0,0.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.9705882352941176
5,34.0,0.0,1.0,0.0,0.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.9705882352941176
6,33.0,0.0,2.0,0.0,0.0,0.0,0.9428571428571428,0.0,0.0,0.0,0.9696969696969696
7,33.0,0.0,2.0,0.0,0.0,0.0,0.9428571428571428,0.0,0.0,0.0,1.0
8,33.0,0.0,2.0,0.0,0.0,0.0,0.9428571428571428,0.0,0.0,0.0,0.9393939393939394
9,33.0,0.0,2.0,0.0,0.0,0.0,0.9428571428571428,0.0,0.0,0.0,0.9772727272727273
10,336.0,0.0,16.0,0.0,0.0,0.0,0.9546031746031746,0.0,0.0,0.0,0.9776069518716577
