,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,31.0,3.0,0.0,2.0,0.4,1.0,0.9166666666666666,0.1388888888888889,0.5714285714285715,0.6039088361275575,0.9852941176470589
1,32.0,2.0,0.0,2.0,0.5,1.0,0.9444444444444444,0.1111111111111111,0.6666666666666666,0.6859943405700353,0.9705882352941176
2,32.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9428571428571428,0.08571428571428572,0.5,0.5601120336112039,1.0
3,32.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9428571428571428,0.08571428571428572,0.5,0.5601120336112039,0.9852941176470588
4,32.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9428571428571428,0.08571428571428572,0.5,0.5601120336112039,1.0
5,32.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9428571428571428,0.08571428571428572,0.5,0.5601120336112039,1.0
6,31.0,2.0,0.0,2.0,0.5,1.0,0.9428571428571428,0.11428571428571428,0.6666666666666666,0.6853444168423419,0.9696969696969697
7,30.0,3.0,0.0,2.0,0.4,1.0,0.9142857142857143,0.14285714285714285,0.5714285714285715,0.6030226891555273,1.0
8,30.0,3.0,0.0,2.0,0.4,1.0,0.9142857142857143,0.14285714285714285,0.5714285714285715,0.6030226891555273,1.0
9,30.0,3.0,0.0,2.0,0.4,1.0,0.9142857142857143,0.14285714285714285,0.5714285714285715,0.6030226891555273,0.9924242424242424
10,312.0,24.0,0.0,16.0,0.3933333333333333,1.0,0.9318253968253968,0.11357142857142857,0.5619047619047619,0.6024763795451332,0.9903297682709447
