,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,43.0,25.0,3.0,8.0,0.24242424242424243,0.7272727272727273,0.6455696202531646,0.4177215189873418,0.36363636363636365,0.2524443152217328,0.7493315508021391
1,43.0,25.0,2.0,9.0,0.2647058823529412,0.8181818181818182,0.6582278481012658,0.43037974683544306,0.39999999999999997,0.3150165613487888,0.714572192513369
2,51.0,17.0,3.0,7.0,0.2916666666666667,0.7,0.7435897435897436,0.3076923076923077,0.4117647058823529,0.32596012026013244,0.8514705882352941
3,40.0,28.0,0.0,10.0,0.2631578947368421,1.0,0.6410256410256411,0.48717948717948717,0.4166666666666667,0.39344473768231686,0.8647058823529412
4,46.0,21.0,2.0,9.0,0.3,0.8181818181818182,0.7051282051282052,0.38461538461538464,0.43902439024390244,0.36110038370224007,0.7510176390773405
5,45.0,22.0,2.0,9.0,0.2903225806451613,0.8181818181818182,0.6923076923076923,0.3974358974358974,0.4285714285714286,0.3483723531685061,0.7611940298507462
6,39.0,28.0,2.0,9.0,0.24324324324324326,0.8181818181818182,0.6153846153846154,0.47435897435897434,0.375,0.2789943971033919,0.7204884667571235
7,36.0,31.0,1.0,10.0,0.24390243902439024,0.9090909090909091,0.5897435897435898,0.5256410256410257,0.38461538461538464,0.3111496835492066,0.7693351424694708
8,43.0,24.0,0.0,11.0,0.3142857142857143,1.0,0.6923076923076923,0.44871794871794873,0.4782608695652174,0.4491166406732638,0.8270013568521031
9,48.0,19.0,4.0,7.0,0.2692307692307692,0.6363636363636364,0.7051282051282052,0.3333333333333333,0.37837837837837834,0.2604661305353116,0.7842605156037992
10,434.0,240.0,19.0,89.0,0.27229394326099704,0.8245454545454546,0.6688412852969815,0.42070756247971436,0.40759181875596945,0.3296065323244891,0.7793377364514328
