,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,34.0,34.0,3.0,8.0,0.19047619047619047,0.7272727272727273,0.5316455696202531,0.5316455696202531,0.3018867924528302,0.15767854915150906,0.6610962566844919
1,28.0,40.0,1.0,10.0,0.2,0.9090909090909091,0.4810126582278481,0.6329113924050633,0.32786885245901637,0.23044985630595752,0.6303475935828876
2,26.0,42.0,2.0,8.0,0.16,0.8,0.4358974358974359,0.6410256410256411,0.26666666666666666,0.1270876095620721,0.7029411764705883
3,31.0,37.0,2.0,8.0,0.17777777777777778,0.8,0.5,0.5769230769230769,0.2909090909090909,0.17315361586769432,0.7823529411764707
4,30.0,37.0,2.0,9.0,0.1956521739130435,0.8181818181818182,0.5,0.5897435897435898,0.3157894736842105,0.18817781541129336,0.6492537313432837
5,25.0,42.0,3.0,8.0,0.16,0.7272727272727273,0.4230769230769231,0.6410256410256411,0.2622950819672131,0.07285073838575341,0.694708276797829
6,26.0,41.0,3.0,8.0,0.16326530612244897,0.7272727272727273,0.4358974358974359,0.6282051282051282,0.26666666666666666,0.08305927631189038,0.6105834464043419
7,24.0,43.0,2.0,9.0,0.17307692307692307,0.8181818181818182,0.4230769230769231,0.6666666666666666,0.28571428571428575,0.1302330652676558,0.7381275440976933
8,23.0,44.0,1.0,10.0,0.18518518518518517,0.9090909090909091,0.4230769230769231,0.6923076923076923,0.30769230769230765,0.19031661274330394,0.748303934871099
9,24.0,43.0,1.0,10.0,0.18867924528301888,0.9090909090909091,0.4358974358974359,0.6794871794871795,0.3125,0.1993538113269377,0.7489823609226595
10,271.0,403.0,20.0,88.0,0.17941128018345878,0.8145454545454545,0.45895813047711786,0.6279941577409932,0.29379892182122874,0.15523609503340677,0.6966697262351345
