,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,44.0,24.0,3.0,8.0,0.25,0.7272727272727273,0.6582278481012658,0.4050632911392405,0.37209302325581395,0.2639874702667629,0.7359625668449198
1,42.0,26.0,1.0,10.0,0.2777777777777778,0.9090909090909091,0.6582278481012658,0.45569620253164556,0.4255319148936171,0.3661507640499996,0.7199197860962567
2,47.0,21.0,1.0,9.0,0.3,0.9,0.717948717948718,0.38461538461538464,0.45000000000000007,0.40624717193585774,0.8323529411764705
3,43.0,25.0,0.0,10.0,0.2857142857142857,1.0,0.6794871794871795,0.44871794871794873,0.4444444444444445,0.4250556068416967,0.8705882352941177
4,44.0,23.0,2.0,9.0,0.28125,0.8181818181818182,0.6794871794871795,0.41025641025641024,0.41860465116279066,0.3360318132344524,0.7333785617367706
5,43.0,24.0,2.0,9.0,0.2727272727272727,0.8181818181818182,0.6666666666666666,0.4230769230769231,0.4090909090909091,0.32404306209111744,0.751696065128901
6,39.0,28.0,2.0,9.0,0.24324324324324326,0.8181818181818182,0.6153846153846154,0.47435897435897434,0.375,0.2789943971033919,0.7137042062415198
7,35.0,32.0,2.0,9.0,0.21951219512195122,0.8181818181818182,0.5641025641025641,0.5256410256410257,0.34615384615384615,0.23738167346763175,0.751696065128901
8,44.0,23.0,0.0,11.0,0.3235294117647059,1.0,0.7051282051282052,0.4358974358974359,0.48888888888888893,0.46094151080456175,0.8188602442333786
9,41.0,26.0,2.0,9.0,0.2571428571428571,0.8181818181818182,0.6410256410256411,0.44871794871794873,0.39130434782608686,0.3009936048486778,0.7435549525101764
10,422.0,252.0,15.0,93.0,0.2710897043492094,0.8627272727272727,0.6585686465433301,0.4412041544952937,0.4121112025716397,0.339982707464415,0.7671713624391412
