,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,59.0,9.0,5.0,6.0,0.4,0.5454545454545454,0.8227848101265823,0.189873417721519,0.4615384615384615,0.3646465122238321,0.8001336898395723
1,53.0,15.0,1.0,10.0,0.4,0.9090909090909091,0.7974683544303798,0.31645569620253167,0.5555555555555556,0.5124948975394401,0.8155080213903744
2,52.0,16.0,2.0,8.0,0.3333333333333333,0.8,0.7692307692307693,0.3076923076923077,0.47058823529411764,0.4090479940519309,0.8661764705882353
3,49.0,19.0,0.0,10.0,0.3448275862068966,1.0,0.7564102564102564,0.3717948717948718,0.5128205128205129,0.49847638040889947,0.8838235294117648
4,50.0,17.0,2.0,9.0,0.34615384615384615,0.8181818181818182,0.7564102564102564,0.3333333333333333,0.4864864864864865,0.4167458088564986,0.780189959294437
5,49.0,18.0,3.0,8.0,0.3076923076923077,0.7272727272727273,0.7307692307692307,0.3333333333333333,0.43243243243243246,0.3386059696959051,0.757123473541384
6,53.0,14.0,3.0,8.0,0.36363636363636365,0.7272727272727273,0.782051282051282,0.28205128205128205,0.4848484848484849,0.40088911563211604,0.83921302578019
7,44.0,23.0,2.0,9.0,0.28125,0.8181818181818182,0.6794871794871795,0.41025641025641024,0.41860465116279066,0.3360318132344524,0.753731343283582
8,51.0,16.0,7.0,4.0,0.2,0.36363636363636365,0.7051282051282052,0.2564102564102564,0.25806451612903225,0.0995004600613784,0.7734056987788331
9,55.0,12.0,6.0,5.0,0.29411764705882354,0.45454545454545453,0.7692307692307693,0.21794871794871795,0.35714285714285715,0.23220572114195287,0.8181818181818181
10,515.0,159.0,31.0,77.0,0.3271011084081571,0.7163636363636363,0.756897111327491,0.30191496267445633,0.4438082193410732,0.36086446728464056,0.8087487030090191
