,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,68.0,0.0,11.0,0.0,0.0,0.0,0.8607594936708861,0.0,0.0,0.0,0.6209893048128342
1,68.0,0.0,11.0,0.0,0.0,0.0,0.8607594936708861,0.0,0.0,0.0,0.731951871657754
2,68.0,0.0,10.0,0.0,0.0,0.0,0.8717948717948718,0.0,0.0,0.0,0.6941176470588235
3,68.0,0.0,10.0,0.0,0.0,0.0,0.8717948717948718,0.0,0.0,0.0,0.7911764705882354
4,67.0,0.0,11.0,0.0,0.0,0.0,0.8589743589743589,0.0,0.0,0.0,0.658751696065129
5,67.0,0.0,11.0,0.0,0.0,0.0,0.8589743589743589,0.0,0.0,0.0,0.700135685210312
6,67.0,0.0,11.0,0.0,0.0,0.0,0.8589743589743589,0.0,0.0,0.0,0.7014925373134329
7,67.0,0.0,11.0,0.0,0.0,0.0,0.8589743589743589,0.0,0.0,0.0,0.7584803256445047
8,67.0,0.0,11.0,0.0,0.0,0.0,0.8589743589743589,0.0,0.0,0.0,0.7944369063772049
9,67.0,0.0,11.0,0.0,0.0,0.0,0.8589743589743589,0.0,0.0,0.0,0.7544097693351425
10,674.0,0.0,108.0,0.0,0.0,0.0,0.8618954884777669,0.0,0.0,0.0,0.7205942214063372
