,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,53.0,15.0,4.0,7.0,0.3181818181818182,0.6363636363636364,0.759493670886076,0.27848101265822783,0.4242424242424242,0.3211151692771436,0.7413101604278074
1,55.0,13.0,4.0,7.0,0.35,0.6363636363636364,0.7848101265822784,0.25316455696202533,0.45161290322580644,0.35444791901047284,0.8148395721925132
2,58.0,10.0,4.0,6.0,0.375,0.6,0.8205128205128205,0.20512820512820512,0.4615384615384615,0.37500790630501557,0.7823529411764706
3,58.0,10.0,1.0,9.0,0.47368421052631576,0.9,0.8589743589743589,0.24358974358974358,0.6206896551724138,0.5864252995001088,0.9014705882352941
4,57.0,10.0,6.0,5.0,0.3333333333333333,0.45454545454545453,0.7948717948717948,0.19230769230769232,0.3846153846153846,0.2696080590863827,0.7455902306648575
5,57.0,10.0,4.0,7.0,0.4117647058823529,0.6363636363636364,0.8205128205128205,0.21794871794871795,0.5,0.4106495265515324,0.8439620081411126
6,57.0,10.0,5.0,6.0,0.375,0.5454545454545454,0.8076923076923077,0.20512820512820512,0.4444444444444444,0.3415020157105422,0.814111261872456
7,54.0,13.0,2.0,9.0,0.4090909090909091,0.8181818181818182,0.8076923076923077,0.28205128205128205,0.5454545454545455,0.4827460554732288,0.8385345997286296
8,57.0,10.0,3.0,8.0,0.4444444444444444,0.7272727272727273,0.8333333333333334,0.23076923076923078,0.5517241379310345,0.47748966661879183,0.8717774762550883
9,59.0,8.0,5.0,6.0,0.42857142857142855,0.5454545454545454,0.8333333333333334,0.1794871794871795,0.4799999999999999,0.38640425427578673,0.7991858887381276
10,565.0,109.0,38.0,70.0,0.39190708500306026,0.65,0.8121226874391431,0.22880558260305092,0.4864321956624515,0.40053958718090055,0.8153134727432357
