,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,53.0,15.0,5.0,6.0,0.2857142857142857,0.5454545454545454,0.7468354430379747,0.26582278481012656,0.37499999999999994,0.25458442483188537,0.7212566844919786
1,55.0,13.0,4.0,7.0,0.35,0.6363636363636364,0.7848101265822784,0.25316455696202533,0.45161290322580644,0.35444791901047284,0.6818181818181819
2,58.0,10.0,4.0,6.0,0.375,0.6,0.8205128205128205,0.20512820512820512,0.4615384615384615,0.37500790630501557,0.7955882352941177
3,55.0,13.0,1.0,9.0,0.4090909090909091,0.9,0.8205128205128205,0.28205128205128205,0.5625000000000001,0.5266077278267719,0.8919117647058823
4,57.0,10.0,7.0,4.0,0.2857142857142857,0.36363636363636365,0.782051282051282,0.1794871794871795,0.32,0.19443271393494999,0.6289009497964722
5,58.0,9.0,4.0,7.0,0.4375,0.6363636363636364,0.8333333333333334,0.20512820512820512,0.5185185185185185,0.43272515689349517,0.8487109905020354
6,59.0,8.0,4.0,7.0,0.4666666666666667,0.6363636363636364,0.8461538461538461,0.19230769230769232,0.5384615384615385,0.45653631338627465,0.8175033921302579
7,52.0,15.0,4.0,7.0,0.3181818181818182,0.6363636363636364,0.7564102564102564,0.28205128205128205,0.4242424242424242,0.31903217579100335,0.7367706919945727
8,55.0,12.0,4.0,7.0,0.3684210526315789,0.6363636363636364,0.7948717948717948,0.24358974358974358,0.4666666666666667,0.3707604073527967,0.8324287652645862
9,59.0,8.0,6.0,5.0,0.38461538461538464,0.45454545454545453,0.8205128205128205,0.16666666666666666,0.41666666666666663,0.31299316581248043,0.7544097693351426
10,561.0,113.0,43.0,65.0,0.3680904402614929,0.6045454545454545,0.8006004543979227,0.2275397598182408,0.4535207179320083,0.3597127911145146,0.7709299425333228
