,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,61.0,94.0,2.0,7.0,0.06930693069306931,0.7777777777777778,0.4146341463414634,0.6158536585365854,0.1272727272727273,0.08021947871830472,0.6057347670250897
1,91.0,64.0,3.0,6.0,0.08571428571428572,0.6666666666666666,0.5914634146341463,0.4268292682926829,0.1518987341772152,0.11684313781643185,0.6437275985663081
2,59.0,97.0,1.0,7.0,0.0673076923076923,0.875,0.4024390243902439,0.6341463414634146,0.125,0.1132367757836432,0.7580128205128205
3,52.0,104.0,1.0,7.0,0.06306306306306306,0.875,0.3597560975609756,0.676829268292683,0.1176470588235294,0.09595478376858156,0.6782852564102565
4,74.0,81.0,1.0,7.0,0.07954545454545454,0.875,0.49693251533742333,0.5398773006134969,0.14583333333333331,0.15275612275806885,0.6330645161290323
5,35.0,120.0,1.0,7.0,0.05511811023622047,0.875,0.25766871165644173,0.7791411042944786,0.1037037037037037,0.05249839903323425,0.6346774193548388
6,48.0,107.0,3.0,5.0,0.044642857142857144,0.625,0.32515337423312884,0.6871165644171779,0.08333333333333334,-0.03043547449750565,0.4951612903225806
7,53.0,102.0,1.0,7.0,0.06422018348623854,0.875,0.36809815950920244,0.6687116564417178,0.11965811965811966,0.09957064227713507,0.552016129032258
8,21.0,134.0,1.0,7.0,0.04964539007092199,0.875,0.17177914110429449,0.8650306748466258,0.09395973154362416,0.006628444327589054,0.4532258064516129
9,47.0,108.0,1.0,7.0,0.06086956521739131,0.875,0.3312883435582822,0.7055214723926381,0.11382113821138212,0.08447182793582728,0.6532258064516129
10,541.0,1011.0,15.0,67.0,0.06394335324771944,0.8194444444444444,0.3719212928325602,0.6599057309591501,0.11821278800569682,0.07717441379213102,0.610713141025641
