,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,103.0,52.0,4.0,5.0,0.08771929824561403,0.5555555555555556,0.6585365853658537,0.3475609756097561,0.1515151515151515,0.10524996376568159,0.6666666666666666
1,86.0,69.0,3.0,6.0,0.08,0.6666666666666666,0.5609756097560976,0.4573170731707317,0.14285714285714285,0.10126182275474736,0.7397849462365591
2,103.0,53.0,5.0,3.0,0.05357142857142857,0.375,0.6463414634146342,0.34146341463414637,0.09375,0.016015462783251527,0.6033653846153846
3,103.0,53.0,1.0,7.0,0.11666666666666667,0.875,0.6707317073170732,0.36585365853658536,0.20588235294117646,0.23937394374516982,0.7888621794871795
4,107.0,48.0,6.0,2.0,0.04,0.25,0.6687116564417178,0.3067484662576687,0.06896551724137932,-0.027957391829743012,0.6217741935483871
5,95.0,60.0,1.0,7.0,0.1044776119402985,0.875,0.6257668711656442,0.4110429447852761,0.18666666666666668,0.21422567218101823,0.7258064516129032
6,104.0,51.0,3.0,5.0,0.08928571428571429,0.625,0.6687116564417178,0.34355828220858897,0.15625,0.1346385169830472,0.6362903225806451
7,103.0,52.0,0.0,8.0,0.13333333333333333,1.0,0.6809815950920245,0.36809815950920244,0.23529411764705882,0.29766113373706415,0.7334677419354839
8,101.0,54.0,3.0,5.0,0.0847457627118644,0.625,0.6503067484662577,0.3619631901840491,0.14925373134328357,0.12434851465751905,0.7104838709677419
9,109.0,46.0,3.0,5.0,0.09803921568627451,0.625,0.6993865030674846,0.3128834355828221,0.1694915254237288,0.1529288656849975,0.7338709677419355
10,1014.0,538.0,29.0,53.0,0.08878390314411942,0.6472222222222223,0.6530450396528507,0.3616489600478827,0.1559926205635588,0.13577465044627532,0.6960372725392887
