,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,100.0,55.0,4.0,5.0,0.08333333333333333,0.5555555555555556,0.6402439024390244,0.36585365853658536,0.14492753623188404,0.09490271405790983,0.6688172043010753
1,94.0,61.0,1.0,8.0,0.11594202898550725,0.8888888888888888,0.6219512195121951,0.42073170731707316,0.20512820512820512,0.22850967653755258,0.8078853046594981
2,103.0,53.0,3.0,5.0,0.08620689655172414,0.625,0.6585365853658537,0.35365853658536583,0.15151515151515152,0.12852149711154215,0.6514423076923077
3,105.0,51.0,1.0,7.0,0.1206896551724138,0.875,0.6829268292682927,0.35365853658536583,0.21212121212121213,0.2469345618659967,0.8577724358974358
4,116.0,39.0,2.0,6.0,0.13333333333333333,0.75,0.7484662576687117,0.27607361963190186,0.22641509433962267,0.24084097237565216,0.7653225806451613
5,95.0,60.0,1.0,7.0,0.1044776119402985,0.875,0.6257668711656442,0.4110429447852761,0.18666666666666668,0.21422567218101823,0.7806451612903226
6,105.0,50.0,2.0,6.0,0.10714285714285714,0.75,0.6809815950920245,0.34355828220858897,0.1875,0.19443709537061313,0.7080645161290322
7,114.0,41.0,1.0,7.0,0.14583333333333334,0.875,0.7423312883435583,0.294478527607362,0.25000000000000006,0.2893446775901414,0.7979838709677419
8,102.0,53.0,3.0,5.0,0.08620689655172414,0.625,0.656441717791411,0.3558282208588957,0.15151515151515152,0.12772844575783696,0.7032258064516129
9,111.0,44.0,3.0,5.0,0.10204081632653061,0.625,0.7116564417177914,0.3006134969325153,0.17543859649122806,0.16072338077587667,0.7387096774193549
10,1045.0,507.0,21.0,61.0,0.10852067626710556,0.7444444444444445,0.6769302708364507,0.34754975310489306,0.1891227614009122,0.192616869362414,0.7479868865453543
