,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,77.0,78.0,3.0,6.0,0.07142857142857142,0.6666666666666666,0.5060975609756098,0.5121951219512195,0.12903225806451613,0.07446687115861395,0.6329749103942651
1,89.0,66.0,0.0,9.0,0.12,1.0,0.5975609756097561,0.4573170731707317,0.21428571428571425,0.2624942395681315,0.7784946236559139
2,88.0,68.0,3.0,5.0,0.0684931506849315,0.625,0.5670731707317073,0.4451219512195122,0.12345679012345677,0.08196389420387581,0.6955128205128206
3,77.0,79.0,0.0,8.0,0.09195402298850575,1.0,0.5182926829268293,0.5304878048780488,0.16842105263157897,0.21304356979017683,0.8032852564102564
4,97.0,58.0,2.0,6.0,0.09375,0.75,0.6319018404907976,0.39263803680981596,0.16666666666666666,0.16625223400356542,0.6717741935483871
5,69.0,86.0,1.0,7.0,0.07526881720430108,0.875,0.4662576687116564,0.5705521472392638,0.1386138613861386,0.13972984261885318,0.7129032258064516
6,72.0,83.0,1.0,7.0,0.07777777777777778,0.875,0.48466257668711654,0.5521472392638037,0.14285714285714288,0.14749882765191075,0.7024193548387097
7,97.0,58.0,0.0,8.0,0.12121212121212122,1.0,0.6441717791411042,0.4049079754601227,0.21621621621621626,0.27541845883714966,0.7641129032258065
8,85.0,70.0,1.0,7.0,0.09090909090909091,0.875,0.5644171779141104,0.4723926380368098,0.16470588235294117,0.18321198185145296,0.6491935483870968
9,92.0,63.0,2.0,6.0,0.08695652173913043,0.75,0.6012269938650306,0.4233128834355828,0.15584415584415584,0.1502139562092306,0.7056451612903226
10,843.0,709.0,13.0,69.0,0.08977500739444302,0.8416666666666666,0.558166242705372,0.47610728714649114,0.16200997404285278,0.1694293875892961,0.7116315998070031
