,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,145.0,10.0,0.0,9.0,0.47368421052631576,1.0,0.9390243902439024,0.11585365853658537,0.6428571428571429,0.6656755507598703,0.9964157706093191
1,137.0,18.0,2.0,7.0,0.28,0.7777777777777778,0.8780487804878049,0.1524390243902439,0.4117647058823529,0.41921536578553953,0.9498207885304659
2,151.0,5.0,1.0,7.0,0.5833333333333334,0.875,0.9634146341463414,0.07317073170731707,0.7000000000000001,0.6972620527609564,0.8677884615384616
3,151.0,5.0,0.0,8.0,0.6153846153846154,1.0,0.9695121951219512,0.07926829268292683,0.761904761904762,0.7717906124765339,0.9903846153846153
4,149.0,6.0,3.0,5.0,0.45454545454545453,0.625,0.9447852760736196,0.06748466257668712,0.5263157894736842,0.5049000709530576,0.8959677419354838
5,146.0,9.0,2.0,6.0,0.4,0.75,0.9325153374233128,0.09202453987730061,0.5217391304347827,0.5171302679563605,0.9338709677419355
6,146.0,9.0,3.0,5.0,0.35714285714285715,0.625,0.9263803680981595,0.08588957055214724,0.45454545454545453,0.43710656609716925,0.8419354838709678
7,147.0,8.0,2.0,6.0,0.42857142857142855,0.75,0.9386503067484663,0.08588957055214724,0.5454545454545454,0.5384555992036253,0.8830645161290323
8,149.0,6.0,3.0,5.0,0.45454545454545453,0.625,0.9447852760736196,0.06748466257668712,0.5263157894736842,0.5049000709530576,0.8927419354838709
9,145.0,10.0,1.0,7.0,0.4117647058823529,0.875,0.9325153374233128,0.10429447852760736,0.56,0.5728676927190371,0.9306451612903226
10,1466.0,86.0,17.0,65.0,0.4458972059931813,0.7902777777777777,0.936963190184049,0.09237991919796498,0.5650897320026408,0.5629303849665208,0.9182635442514474
