,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,121.0,34.0,2.0,7.0,0.17073170731707318,0.7777777777777778,0.7804878048780488,0.25,0.27999999999999997,0.29370130064810657,0.7734767025089606
1,112.0,43.0,1.0,8.0,0.1568627450980392,0.8888888888888888,0.7317073170731707,0.31097560975609756,0.26666666666666666,0.30084141144517773,0.8003584229390681
2,133.0,23.0,5.0,3.0,0.11538461538461539,0.375,0.8292682926829268,0.15853658536585366,0.1764705882352941,0.1342099857307397,0.6854967948717948
3,110.0,46.0,1.0,7.0,0.1320754716981132,0.875,0.7134146341463414,0.3231707317073171,0.22950819672131148,0.2671971671094348,0.7876602564102565
4,134.0,21.0,1.0,7.0,0.25,0.875,0.8650306748466258,0.17177914110429449,0.3888888888888889,0.42355771154114724,0.8673387096774193
5,131.0,24.0,3.0,5.0,0.1724137931034483,0.625,0.8343558282208589,0.17791411042944785,0.2702702702702703,0.2655866946928159,0.8052419354838709
6,116.0,39.0,1.0,7.0,0.15217391304347827,0.875,0.754601226993865,0.2822085889570552,0.2592592592592593,0.2992242620723103,0.8108870967741935
7,88.0,67.0,0.0,8.0,0.10666666666666667,1.0,0.588957055214724,0.4601226993865031,0.1927710843373494,0.24608766686883404,0.7838709677419355
8,112.0,43.0,2.0,6.0,0.12244897959183673,0.75,0.7239263803680982,0.3006134969325153,0.21052631578947364,0.22265697667769205,0.7689516129032259
9,103.0,52.0,1.0,7.0,0.11864406779661017,0.875,0.6748466257668712,0.3619631901840491,0.208955223880597,0.24253398339906776,0.7673387096774194
10,1160.0,392.0,17.0,65.0,0.14974019596998808,0.7916666666666666,0.7496595840191531,0.27972841538231336,0.2483316494049111,0.2695597160185326,0.7850621208988144
