,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,15.0,140.0,0.0,9.0,0.06040268456375839,1.0,0.14634146341463414,0.9085365853658537,0.11392405063291139,0.07645535355235321,0.6566308243727598
1,13.0,142.0,1.0,8.0,0.05333333333333334,0.8888888888888888,0.12804878048780488,0.9146341463414634,0.10062893081761007,-0.02220173146431724,0.4774193548387097
2,25.0,131.0,0.0,8.0,0.05755395683453238,1.0,0.20121951219512196,0.8475609756097561,0.10884353741496598,0.09603848456923166,0.6626602564102565
3,17.0,139.0,0.0,8.0,0.05442176870748299,1.0,0.1524390243902439,0.8963414634146342,0.10322580645161289,0.07701024191072761,0.6157852564102565
4,19.0,136.0,1.0,7.0,0.04895104895104895,0.875,0.15950920245398773,0.8773006134969326,0.09271523178807947,-0.0015930426221069265,0.6758064516129034
5,15.0,140.0,0.0,8.0,0.05405405405405406,1.0,0.1411042944785276,0.9079754601226994,0.10256410256410257,0.07232591160228818,0.3903225806451613
6,20.0,135.0,0.0,8.0,0.055944055944055944,1.0,0.17177914110429449,0.8773006134969326,0.10596026490066224,0.08496227317903608,0.7193548387096774
7,34.0,121.0,0.0,8.0,0.06201550387596899,1.0,0.25766871165644173,0.7914110429447853,0.1167883211678832,0.11663361801047138,0.7076612903225806
8,12.0,143.0,0.0,8.0,0.052980132450331126,1.0,0.12269938650306748,0.9263803680981595,0.10062893081761005,0.06404441953499167,0.3459677419354839
9,12.0,143.0,0.0,8.0,0.052980132450331126,1.0,0.12269938650306748,0.9263803680981595,0.10062893081761005,0.06404441953499167,0.7008064516129032
10,182.0,1370.0,2.0,80.0,0.05526366711648974,0.976388888888889,0.16035089031871913,0.8873821636989376,0.10459081073730478,0.06277199478076673,0.5952415046870693
