,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,28.0,127.0,0.0,9.0,0.0661764705882353,1.0,0.22560975609756098,0.8292682926829268,0.12413793103448276,0.10933644956297078,0.653763440860215
1,30.0,125.0,0.0,9.0,0.06716417910447761,1.0,0.23780487804878048,0.8170731707317073,0.12587412587412586,0.11401543113259058,0.7476702508960573
2,39.0,117.0,0.0,8.0,0.064,1.0,0.2865853658536585,0.7621951219512195,0.12030075187969924,0.12649110640673517,0.7451923076923077
3,25.0,131.0,0.0,8.0,0.05755395683453238,1.0,0.20121951219512196,0.8475609756097561,0.10884353741496598,0.09603848456923166,0.7640224358974359
4,28.0,127.0,1.0,7.0,0.05223880597014925,0.875,0.2147239263803681,0.8220858895705522,0.09859154929577464,0.03143307364288901,0.6314516129032258
5,26.0,129.0,1.0,7.0,0.051470588235294115,0.875,0.20245398773006135,0.8343558282208589,0.09722222222222222,0.024837832315221325,0.6258064516129032
6,30.0,125.0,0.0,8.0,0.06015037593984962,1.0,0.2331288343558282,0.8159509202453987,0.11347517730496454,0.10789813828988204,0.7943548387096774
7,35.0,120.0,0.0,8.0,0.0625,1.0,0.26380368098159507,0.7852760736196319,0.11764705882352941,0.11879774082787285,0.7431451612903226
8,20.0,135.0,1.0,7.0,0.04929577464788732,0.875,0.1656441717791411,0.8711656441717791,0.09333333333333332,0.0026001915475655,0.7193548387096774
9,28.0,127.0,0.0,8.0,0.05925925925925926,1.0,0.22085889570552147,0.8282208588957055,0.11188811188811189,0.1034644791550894,0.6887096774193548
10,289.0,1263.0,3.0,79.0,0.058980941057968486,0.9625,0.22518330091276373,0.8213152775699536,0.11113137990712099,0.08349129274500483,0.7113471015991177
