,id,nameProject,testCase,isFlaky,prediction
4,8862.0,undertow,io.undertow.util.headermaptestcase.testcollision,False,False
20,8883.0,undertow,io.undertow.server.security.digestauthentication2069testcase.testbadpassword,False,True
27,8896.0,undertow,io.undertow.server.security.digestauthenticationauthtestcase.testnoncecountreuse,False,True
31,8905.0,undertow,io.undertow.server.security.spnegobasicauthenticationtestcase.testbadpassword,False,False
34,8914.0,undertow,io.undertow.server.handlers.sendertestcase.testasynctransfer,False,False
2,8860.0,undertow,io.undertow.util.headermaptestcase.testsimple,False,False
9,8867.0,undertow,io.undertow.util.httpstringtestcase.testordershorterfirst,False,False
13,8871.0,undertow,io.undertow.util.headervaluestestcase.testadd,False,False
24,8893.0,undertow,io.undertow.server.security.digestauthenticationauthtestcase.testbadusername,False,True
44,8932.0,undertow,io.undertow.server.handlers.caching.cachehandlertestcase.testbasicpathbasedcaching,False,False
1,8859.0,undertow,io.undertow.util.headermaptestcase.testinitial,False,False
11,8869.0,undertow,io.undertow.util.httpstringtestcase.testcompare,False,False
25,8894.0,undertow,io.undertow.server.security.digestauthenticationauthtestcase.testbadpassword,False,True
39,8923.0,undertow,io.undertow.server.handlers.httpcontinueacceptinghandlertestcase.testhttpcontinuerejected,False,False
42,8928.0,undertow,io.undertow.server.handlers.proxy.loadbalancingproxytestcase.testloadsharedwithservershutdown,True,True
12,8870.0,undertow,io.undertow.util.headervaluestestcase.testbasic,False,False
14,8872.0,undertow,io.undertow.util.testversion.testversionset,False,False
16,8874.0,undertow,io.undertow.util.cookiestestcase.testparsingsetcookieheaderv1,False,False
38,8919.0,undertow,io.undertow.server.handlers.datehandlertestcase.testdatehandler,True,False
45,8943.0,undertow,io.undertow.server.handlers.file.contentencodedresourcetestcase.testfileiscompressed,False,True
6,8864.0,undertow,io.undertow.util.securehashmaptestcase.testgetnonexistentdoesnotnpe,False,True
18,8881.0,undertow,io.undertow.server.security.digestauthentication2069testcase.testdigestsuccess,True,True
30,8904.0,undertow,io.undertow.server.security.spnegobasicauthenticationtestcase.testbadusername,False,True
41,8927.0,undertow,io.undertow.server.handlers.proxy.loadbalancingproxytestcase.testloadshared,False,True
43,8929.0,undertow,io.undertow.server.handlers.proxy.loadbalancingproxytestcase.teststickeysessions,False,True
0,8858.0,undertow,io.undertow.util.canonicalpathutilstestcase.testcanonicalization,False,False
21,8884.0,undertow,io.undertow.server.security.digestauthentication2069testcase.testdifferentnonce,False,True
28,8900.0,undertow,io.undertow.server.security.spnegoauthenticationtestcase.testspnegosuccess,True,True
36,8916.0,undertow,io.undertow.server.handlers.sendertestcase.testblockingsender,False,True
40,8924.0,undertow,io.undertow.server.handlers.httpcontinueacceptinghandlertestcase.testhttpcontinueaccepted,False,True
3,8861.0,undertow,io.undertow.util.headermaptestcase.testgrowing,False,True
7,8865.0,undertow,io.undertow.util.securehashmaptestcase.testlotsofputsandgets,False,True
10,8868.0,undertow,io.undertow.util.httpstringtestcase.testcompareshorterfirst,False,True
22,8885.0,undertow,io.undertow.server.security.digestauthentication2069testcase.testnoncereuse,True,True
46,8945.0,undertow,io.undertow.server.handlers.error.simpleerrorpagehandlertestcase.testsimpleerrorpageisgenerated,False,True
8,8866.0,undertow,io.undertow.util.etagutilstestcase.testparseheaderlist,False,False
15,8873.0,undertow,io.undertow.util.cookiestestcase.testparsingsetcookieheaderv0,False,False
23,8892.0,undertow,io.undertow.server.security.digestauthenticationauthtestcase.testdigestsuccess,True,True
29,8903.0,undertow,io.undertow.server.security.spnegobasicauthenticationtestcase.testbasicsuccess,False,False
32,8908.0,undertow,io.undertow.server.handlers.metricshandlertestcase.testmetrics,False,False
17,8878.0,undertow,io.undertow.server.httpserverexchangetestcase.testhttpserverexchange,False,False
19,8882.0,undertow,io.undertow.server.security.digestauthentication2069testcase.testbadusername,False,True
35,8915.0,undertow,io.undertow.server.handlers.sendertestcase.testsynctransfer,False,False
37,8917.0,undertow,io.undertow.server.handlers.sendertestcase.testsendersetscontentlength,False,False
5,8863.0,undertow,io.undertow.util.statuscodestestcase.testcodelookup,False,False
26,8895.0,undertow,io.undertow.server.security.digestauthenticationauthtestcase.testbadnonce,False,True
33,8913.0,undertow,io.undertow.server.handlers.sendertestcase.testasyncsender,False,True
47,8946.0,undertow,io.undertow.server.handlers.error.fileerrorpagehandlertestcase.testfilebasederrorpageisgenerated,False,False
