,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,69.0,40.0,0.0,2.0,0.047619047619047616,1.0,0.6396396396396397,0.3783783783783784,0.0909090909090909,0.17362075843298996,0.9311926605504587
1,78.0,31.0,1.0,1.0,0.03125,0.5,0.7117117117117117,0.2882882882882883,0.058823529411764705,0.06331127742561013,0.7660550458715596
2,64.0,45.0,1.0,1.0,0.021739130434782608,0.5,0.5855855855855856,0.4144144144144144,0.041666666666666664,0.023533675457079833,0.5114678899082569
3,51.0,58.0,0.0,1.0,0.01694915254237288,1.0,0.4727272727272727,0.5363636363636364,0.03333333333333333,0.08905244201077657,0.9908256880733946
4,77.0,32.0,1.0,0.0,0.0,0.0,0.7,0.2909090909090909,0.0,-0.06134998188737911,0.5137614678899083
5,64.0,45.0,0.0,1.0,0.021739130434782608,1.0,0.5909090909090909,0.41818181818181815,0.042553191489361694,0.11297902491966799,0.7522935779816514
6,55.0,54.0,0.0,1.0,0.01818181818181818,1.0,0.509090909090909,0.5,0.03571428571428572,0.09578262852211514,0.5963302752293578
7,53.0,55.0,0.0,2.0,0.03508771929824561,1.0,0.5,0.5181818181818182,0.06779661016949151,0.13122108580302266,0.8796296296296297
8,66.0,42.0,0.0,2.0,0.045454545454545456,1.0,0.6181818181818182,0.4,0.08695652173913045,0.16666666666666666,0.8703703703703703
9,65.0,43.0,1.0,1.0,0.022727272727272728,0.5,0.6,0.4,0.04347826086956522,0.027777777777777776,0.7870370370370371
10,642.0,445.0,4.0,12.0,0.026074781669286767,0.75,0.5927846027846028,0.4144717444717444,0.05012314903026902,0.08225953551283276,0.7598963642541624
