,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,34.0,75.0,2.0,0.0,0.0,0.0,0.3063063063063063,0.6756756756756757,0.0,-0.19551547175144376,0.09174311926605505
1,21.0,88.0,1.0,1.0,0.011235955056179775,0.5,0.1981981981981982,0.8018018018018018,0.021978021978021976,-0.10255107379794903,0.16972477064220182
2,57.0,52.0,1.0,1.0,0.018867924528301886,0.5,0.5225225225225225,0.4774774774774775,0.03636363636363636,0.006107870576613956,0.5573394495412843
3,16.0,93.0,1.0,0.0,0.0,0.0,0.14545454545454545,0.8454545454545455,0.0,-0.22402875461111366,0.11926605504587151
4,64.0,45.0,1.0,0.0,0.0,0.0,0.5818181818181818,0.4090909090909091,0.0,-0.07969596425427825,0.44036697247706424
5,54.0,55.0,1.0,0.0,0.0,0.0,0.4909090909090909,0.5,0.0,-0.09578262852211514,0.08256880733944949
6,6.0,103.0,0.0,1.0,0.009615384615384616,1.0,0.06363636363636363,0.9454545454545454,0.01904761904761905,0.023006243207767167,0.5963302752293578
7,16.0,92.0,1.0,1.0,0.010752688172043012,0.5,0.15454545454545454,0.8454545454545455,0.02105263157894737,-0.13005312187822501,0.15277777777777773
8,5.0,103.0,0.0,2.0,0.01904761904761905,1.0,0.06363636363636363,0.9545454545454546,0.03738317757009346,0.029695693545824933,0.7268518518518519
9,29.0,79.0,0.0,2.0,0.024691358024691357,1.0,0.2818181818181818,0.7363636363636363,0.048192771084337345,0.08142534542143777,0.7870370370370371
10,302.0,785.0,8.0,8.0,0.009421092944421968,0.45,0.28088452088452087,0.7191318591318592,0.018401785762265553,-0.06873918620634811,0.3724006116207951
