,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,74.0,35.0,0.0,2.0,0.05405405405405406,1.0,0.6846846846846847,0.3333333333333333,0.10256410256410257,0.19156525704423027,0.8853211009174311
1,85.0,24.0,1.0,1.0,0.04,0.5,0.7747747747747747,0.22522522522522523,0.07407407407407407,0.08910095486516129,0.8073394495412844
2,77.0,32.0,2.0,0.0,0.0,0.0,0.6936936936936937,0.2882882882882883,0.0,-0.0862111011752989,0.48394495412844035
3,80.0,29.0,0.0,1.0,0.03333333333333333,1.0,0.7363636363636363,0.2727272727272727,0.06451612903225806,0.15641237740115502,0.9724770642201835
4,80.0,29.0,1.0,0.0,0.0,0.0,0.7272727272727273,0.2636363636363636,0.0,-0.057311693361348004,0.4954128440366973
5,78.0,31.0,1.0,0.0,0.0,0.0,0.7090909090909091,0.2818181818181818,0.0,-0.06000038710052033,0.5871559633027523
6,80.0,29.0,1.0,0.0,0.0,0.0,0.7272727272727273,0.2636363636363636,0.0,-0.057311693361348004,0.5045871559633027
7,73.0,35.0,0.0,2.0,0.05405405405405406,1.0,0.6818181818181818,0.33636363636363636,0.10256410256410257,0.19114532831470543,0.9120370370370371
8,81.0,27.0,0.0,2.0,0.06896551724137931,1.0,0.7545454545454545,0.2636363636363636,0.12903225806451613,0.22742941307367104,0.8564814814814815
9,80.0,28.0,1.0,1.0,0.034482758620689655,0.5,0.7363636363636363,0.2636363636363636,0.06451612903225806,0.07300203382611663,0.8009259259259259
10,788.0,299.0,7.0,9.0,0.028488971730351042,0.5,0.7225880425880427,0.27923013923013923,0.05372667953313115,0.06678204895265244,0.7305682976554537
