,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,103.0,6.0,2.0,0.0,0.0,0.0,0.9279279279279279,0.05405405405405406,0.0,-0.032380438409818635,0.7431192660550459
1,109.0,0.0,2.0,0.0,0.0,0.0,0.9819819819819819,0.0,0.0,0.0,0.7660550458715596
2,105.0,4.0,2.0,0.0,0.0,0.0,0.9459459459459459,0.036036036036036036,0.0,-0.026190262764459613,0.5527522935779816
3,105.0,4.0,0.0,1.0,0.2,1.0,0.9636363636363636,0.045454545454545456,0.33333333333333337,0.43893114546442885,0.9816513761467889
4,105.0,4.0,1.0,0.0,0.0,0.0,0.9545454545454546,0.03636363636363636,0.0,-0.01860646258858962,0.9357798165137615
5,104.0,5.0,1.0,0.0,0.0,0.0,0.9454545454545454,0.045454545454545456,0.0,-0.020901483117353754,0.8532110091743119
6,107.0,2.0,1.0,0.0,0.0,0.0,0.9727272727272728,0.01818181818181818,0.0,-0.013034364783429585,0.9357798165137614
7,103.0,5.0,0.0,2.0,0.2857142857142857,1.0,0.9545454545454546,0.06363636363636363,0.4444444444444445,0.5220026556319158,0.9953703703703705
8,107.0,1.0,1.0,1.0,0.5,0.5,0.9818181818181818,0.01818181818181818,0.5,0.49074074074074076,0.9814814814814814
9,106.0,2.0,2.0,0.0,0.0,0.0,0.9636363636363636,0.01818181818181818,0.0,-0.018518518518518517,0.638888888888889
10,1054.0,33.0,12.0,4.0,0.09857142857142857,0.25,0.9592219492219491,0.03355446355446355,0.1277777777777778,0.13220430116549156,0.8384089364593953
