,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,12.0,9.0,0.0,2.0,0.18181818181818182,1.0,0.6086956521739131,0.4782608695652174,0.3076923076923077,0.3223291856101521,0.9523809523809523
1,16.0,4.0,1.0,1.0,0.2,0.5,0.7727272727272727,0.22727272727272727,0.28571428571428575,0.2057983021710106,0.825
2,8.0,12.0,0.0,2.0,0.14285714285714285,1.0,0.45454545454545453,0.6363636363636364,0.25,0.23904572186687872,1.0
3,12.0,8.0,0.0,2.0,0.2,1.0,0.6363636363636364,0.45454545454545453,0.33333333333333337,0.3464101615137754,0.95
4,9.0,11.0,0.0,2.0,0.15384615384615385,1.0,0.5,0.5909090909090909,0.2666666666666667,0.26311740579210874,0.925
5,15.0,5.0,0.0,2.0,0.2857142857142857,1.0,0.7727272727272727,0.3181818181818182,0.4444444444444445,0.46291004988627577,0.925
6,10.0,10.0,0.0,2.0,0.16666666666666666,1.0,0.5454545454545454,0.5454545454545454,0.2857142857142857,0.28867513459481287,1.0
7,16.0,4.0,0.0,2.0,0.3333333333333333,1.0,0.8181818181818182,0.2727272727272727,0.5,0.5163977794943222,0.8500000000000001
8,18.0,2.0,0.0,2.0,0.5,1.0,0.9090909090909091,0.18181818181818182,0.6666666666666666,0.6708203932499369,0.975
9,17.0,3.0,0.0,2.0,0.4,1.0,0.8636363636363636,0.22727272727272727,0.5714285714285715,0.5830951894845301,0.85
10,133.0,68.0,1.0,19.0,0.2564235764235764,0.95,0.6881422924901186,0.39328063241106714,0.3911660561660562,0.38985993236638034,0.9252380952380952
