,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,5.0,16.0,0.0,2.0,0.1111111111111111,1.0,0.30434782608695654,0.782608695652174,0.19999999999999998,0.16265001215808886,0.8095238095238095
1,13.0,7.0,0.0,2.0,0.2222222222222222,1.0,0.6818181818181818,0.4090909090909091,0.3636363636363636,0.38005847503304596,0.7750000000000001
2,6.0,14.0,0.0,2.0,0.125,1.0,0.36363636363636365,0.7272727272727273,0.2222222222222222,0.19364916731037085,0.875
3,7.0,13.0,0.0,2.0,0.13333333333333333,1.0,0.4090909090909091,0.6818181818181818,0.23529411764705882,0.2160246899469287,0.825
4,6.0,14.0,0.0,2.0,0.125,1.0,0.36363636363636365,0.7272727272727273,0.2222222222222222,0.19364916731037085,0.7
5,8.0,12.0,0.0,2.0,0.14285714285714285,1.0,0.45454545454545453,0.6363636363636364,0.25,0.23904572186687872,0.925
6,8.0,12.0,0.0,2.0,0.14285714285714285,1.0,0.45454545454545453,0.6363636363636364,0.25,0.23904572186687872,0.9
7,9.0,11.0,0.0,2.0,0.15384615384615385,1.0,0.5,0.5909090909090909,0.2666666666666667,0.26311740579210874,0.8
8,12.0,8.0,0.0,2.0,0.2,1.0,0.6363636363636364,0.45454545454545453,0.33333333333333337,0.3464101615137754,0.875
9,12.0,8.0,0.0,2.0,0.2,1.0,0.6363636363636364,0.45454545454545453,0.33333333333333337,0.3464101615137754,0.75
10,86.0,115.0,0.0,20.0,0.1556227106227106,1.0,0.4804347826086957,0.6100790513833991,0.26767082590612007,0.2580060684312222,0.823452380952381
