,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,13.0,8.0,1.0,1.0,0.1111111111111111,0.5,0.6086956521739131,0.391304347826087,0.1818181818181818,0.06873217490352687,0.6428571428571429
1,18.0,2.0,0.0,2.0,0.5,1.0,0.9090909090909091,0.18181818181818182,0.6666666666666666,0.6708203932499369,0.9
2,13.0,7.0,0.0,2.0,0.2222222222222222,1.0,0.6818181818181818,0.4090909090909091,0.3636363636363636,0.38005847503304596,0.825
3,12.0,8.0,0.0,2.0,0.2,1.0,0.6363636363636364,0.45454545454545453,0.33333333333333337,0.3464101615137754,0.725
4,10.0,10.0,1.0,1.0,0.09090909090909091,0.5,0.5,0.5,0.15384615384615385,0.0,0.5
5,17.0,3.0,1.0,1.0,0.25,0.5,0.8181818181818182,0.18181818181818182,0.3333333333333333,0.2608745973749754,0.9
6,16.0,4.0,1.0,1.0,0.2,0.5,0.7727272727272727,0.22727272727272727,0.28571428571428575,0.2057983021710106,0.85
7,15.0,5.0,1.0,1.0,0.16666666666666666,0.5,0.7272727272727273,0.2727272727272727,0.25,0.1613743060919757,0.475
8,16.0,4.0,1.0,1.0,0.2,0.5,0.7727272727272727,0.22727272727272727,0.28571428571428575,0.2057983021710106,0.475
9,15.0,5.0,2.0,0.0,0.0,0.0,0.6818181818181818,0.22727272727272727,0.0,-0.17149858514250885,0.09999999999999998
10,145.0,56.0,8.0,12.0,0.19409090909090912,0.6,0.7108695652173913,0.3073122529644269,0.28540626040626044,0.21283681273667487,0.6392857142857141
