,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,15.0,6.0,0.0,2.0,0.25,1.0,0.7391304347826086,0.34782608695652173,0.4,0.4225771273642583,0.8571428571428571
1,20.0,0.0,0.0,2.0,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,1.0
2,15.0,5.0,0.0,2.0,0.2857142857142857,1.0,0.7727272727272727,0.3181818181818182,0.4444444444444445,0.46291004988627577,1.0
3,17.0,3.0,0.0,2.0,0.4,1.0,0.8636363636363636,0.22727272727272727,0.5714285714285715,0.5830951894845301,1.0
4,18.0,2.0,0.0,2.0,0.5,1.0,0.9090909090909091,0.18181818181818182,0.6666666666666666,0.6708203932499369,0.9875
5,19.0,1.0,1.0,1.0,0.5,0.5,0.9090909090909091,0.09090909090909091,0.5,0.45,0.9750000000000001
6,18.0,2.0,0.0,2.0,0.5,1.0,0.9090909090909091,0.18181818181818182,0.6666666666666666,0.6708203932499369,0.95
7,18.0,2.0,0.0,2.0,0.5,1.0,0.9090909090909091,0.18181818181818182,0.6666666666666666,0.6708203932499369,0.9874999999999999
8,19.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9545454545454546,0.13636363636363635,0.8,0.7958224257542214,0.9750000000000001
9,15.0,5.0,0.0,2.0,0.2857142857142857,1.0,0.7727272727272727,0.3181818181818182,0.4444444444444445,0.46291004988627577,0.925
10,174.0,27.0,1.0,19.0,0.48880952380952386,0.95,0.8739130434782609,0.2075098814229249,0.616031746031746,0.6189776022125372,0.9657142857142859
