,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,2.0,3.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0
1,4.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0
2,3.0,2.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0
3,2.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.6,0.6,0.5,0.4082482904638631,0.75
4,3.0,1.0,0.0,1.0,0.5,1.0,0.8,0.4,0.6666666666666666,0.6123724356957946,1.0
5,1.0,3.0,0.0,1.0,0.25,1.0,0.4,0.8,0.4,0.25,0.75
6,3.0,1.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
7,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
8,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
9,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,26.0,17.0,0.0,3.0,0.10833333333333332,0.3,0.635,0.425,0.15666666666666668,0.12706207261596575,0.25
