,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,1.0,4.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0
1,1.0,4.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0
2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,0.0,4.0,0.0,1.0,0.2,1.0,0.2,1.0,0.33333333333333337,0.0,0.75
4,1.0,3.0,0.0,1.0,0.25,1.0,0.4,0.8,0.4,0.25,1.0
5,0.0,4.0,0.0,1.0,0.2,1.0,0.2,1.0,0.33333333333333337,0.0,0.75
6,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,1.0,3.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0
8,1.0,3.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0
9,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
10,7.0,36.0,0.0,3.0,0.065,0.3,0.22000000000000003,0.8400000000000001,0.10666666666666669,0.025,0.25
