,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,49.0,8.0,0.0,0.0,0.0,0.0,0.8596491228070176,0.14035087719298245,0.0,0.0,0.0
1,53.0,3.0,1.0,0.0,0.0,0.0,0.9298245614035088,0.05263157894736842,0.0,-0.031497039417435604,0.9464285714285714
2,37.0,19.0,1.0,0.0,0.0,0.0,0.6491228070175439,0.3333333333333333,0.0,-0.0944911182523068,0.5892857142857143
3,50.0,6.0,0.0,1.0,0.14285714285714285,1.0,0.8947368421052632,0.12280701754385964,0.25,0.35714285714285715,0.9285714285714286
4,45.0,11.0,0.0,0.0,0.0,0.0,0.8035714285714286,0.19642857142857142,0.0,0.0,0.0
5,51.0,5.0,0.0,0.0,0.0,0.0,0.9107142857142857,0.08928571428571429,0.0,0.0,0.0
6,46.0,10.0,0.0,0.0,0.0,0.0,0.8214285714285714,0.17857142857142858,0.0,0.0,0.0
7,44.0,12.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.21428571428571427,0.0,0.0,0.0
8,48.0,8.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0
9,45.0,11.0,0.0,0.0,0.0,0.0,0.8035714285714286,0.19642857142857142,0.0,0.0,0.0
10,468.0,93.0,2.0,1.0,0.014285714285714285,0.1,0.831547619047619,0.16669799498746868,0.025,0.02311546994731148,0.24642857142857144
