,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,49.0,8.0,0.0,0.0,0.0,0.0,0.8596491228070176,0.14035087719298245,0.0,0.0,0.0
1,53.0,3.0,1.0,0.0,0.0,0.0,0.9298245614035088,0.05263157894736842,0.0,-0.031497039417435604,0.9464285714285714
2,37.0,19.0,1.0,0.0,0.0,0.0,0.6491228070175439,0.3333333333333333,0.0,-0.0944911182523068,0.5892857142857143
3,52.0,4.0,1.0,0.0,0.0,0.0,0.9122807017543859,0.07017543859649122,0.0,-0.036711154910717615,0.9285714285714286
4,45.0,11.0,0.0,0.0,0.0,0.0,0.8035714285714286,0.19642857142857142,0.0,0.0,0.0
5,51.0,5.0,0.0,0.0,0.0,0.0,0.9107142857142857,0.08928571428571429,0.0,0.0,0.0
6,46.0,10.0,0.0,0.0,0.0,0.0,0.8214285714285714,0.17857142857142858,0.0,0.0,0.0
7,44.0,12.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.21428571428571427,0.0,0.0,0.0
8,47.0,9.0,0.0,0.0,0.0,0.0,0.8392857142857143,0.16071428571428573,0.0,0.0,0.0
9,45.0,11.0,0.0,0.0,0.0,0.0,0.8035714285714286,0.19642857142857142,0.0,0.0,0.0
10,469.0,92.0,3.0,0.0,0.0,0.0,0.8315162907268171,0.1632205513784461,0.0,-0.016269931258046,0.24642857142857144
