,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,55.0,2.0,0.0,0.0,0.0,0.0,0.9649122807017544,0.03508771929824561,0.0,0.0,0.0
1,55.0,1.0,0.0,1.0,0.5,1.0,0.9824561403508771,0.03508771929824561,0.6666666666666666,0.7007648882267351,0.9821428571428572
2,56.0,0.0,1.0,0.0,0.0,0.0,0.9824561403508771,0.0,0.0,0.0,0.6517857142857143
3,56.0,0.0,0.0,1.0,1.0,1.0,1.0,0.017543859649122806,1.0,1.0,1.0
4,56.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,56.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,55.0,1.0,0.0,0.0,0.0,0.0,0.9821428571428571,0.017857142857142856,0.0,0.0,0.0
7,55.0,1.0,0.0,0.0,0.0,0.0,0.9821428571428571,0.017857142857142856,0.0,0.0,0.0
8,55.0,1.0,0.0,0.0,0.0,0.0,0.9821428571428571,0.017857142857142856,0.0,0.0,0.0
9,55.0,1.0,0.0,0.0,0.0,0.0,0.9821428571428571,0.017857142857142856,0.0,0.0,0.0
10,554.0,7.0,1.0,2.0,0.15,0.2,0.9858395989974937,0.015914786967418545,0.16666666666666666,0.1700764888226735,0.26339285714285715
