,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,41.0,13.0,0.0,1.0,0.07142857142857142,1.0,0.7636363636363637,0.2545454545454545,0.13333333333333333,0.232879377001924,0.8703703703703702
1,0.0,54.0,0.0,1.0,0.01818181818181818,1.0,0.01818181818181818,1.0,0.03571428571428572,0.0,0.8148148148148149
2,43.0,10.0,1.0,1.0,0.09090909090909091,0.5,0.8,0.2,0.15384615384615385,0.14569287935358963,0.8584905660377358
3,47.0,6.0,2.0,0.0,0.0,0.0,0.8545454545454545,0.10909090909090909,0.0,-0.06797585020441235,0.8867924528301887
4,0.0,53.0,0.0,1.0,0.018518518518518517,1.0,0.018518518518518517,1.0,0.03636363636363636,0.0,0.7735849056603774
5,46.0,7.0,0.0,1.0,0.125,1.0,0.8703703703703703,0.14814814814814814,0.2222222222222222,0.3293790613225678,0.9622641509433962
6,48.0,5.0,0.0,1.0,0.16666666666666666,1.0,0.9074074074074074,0.1111111111111111,0.2857142857142857,0.38851434494290565,0.9056603773584906
7,42.0,11.0,0.0,1.0,0.08333333333333333,1.0,0.7962962962962963,0.2222222222222222,0.15384615384615385,0.25697808437502334,0.8301886792452831
8,47.0,6.0,1.0,0.0,0.0,0.0,0.8703703703703703,0.1111111111111111,0.0,-0.04856429311786321,0.8867924528301887
9,37.0,16.0,0.0,1.0,0.058823529411764705,1.0,0.7037037037037037,0.3148148148148148,0.1111111111111111,0.20264620104233966,0.8113207547169811
10,351.0,181.0,4.0,8.0,0.06328615284497638,0.75,0.6603030303030304,0.3471043771043771,0.11321511821511823,0.14395498047160746,0.8600279524807826
