,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,54.0,0.0,0.0,1.0,1.0,1.0,1.0,0.01818181818181818,1.0,1.0,1.0
1,54.0,0.0,1.0,0.0,0.0,0.0,0.9818181818181818,0.0,0.0,0.0,1.0
2,53.0,0.0,2.0,0.0,0.0,0.0,0.9636363636363636,0.0,0.0,0.0,0.8962264150943395
3,53.0,0.0,2.0,0.0,0.0,0.0,0.9636363636363636,0.0,0.0,0.0,0.9811320754716981
4,53.0,0.0,1.0,0.0,0.0,0.0,0.9814814814814815,0.0,0.0,0.0,0.9811320754716981
5,51.0,2.0,1.0,0.0,0.0,0.0,0.9444444444444444,0.037037037037037035,0.0,-0.026938622922018266,0.9245283018867925
6,52.0,1.0,1.0,0.0,0.0,0.0,0.9629629629629629,0.018518518518518517,0.0,-0.018867924528301886,0.0
7,52.0,1.0,1.0,0.0,0.0,0.0,0.9629629629629629,0.018518518518518517,0.0,-0.018867924528301886,0.9811320754716981
8,53.0,0.0,1.0,0.0,0.0,0.0,0.9814814814814815,0.0,0.0,0.0,1.0
9,53.0,0.0,1.0,0.0,0.0,0.0,0.9814814814814815,0.0,0.0,0.0,1.0
10,528.0,4.0,11.0,1.0,0.1,0.1,0.9723905723905724,0.009225589225589225,0.1,0.09353255280213779,0.8764150943396226
