,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,10.0,44.0,0.0,1.0,0.022222222222222223,1.0,0.2,0.8181818181818182,0.04347826086956522,0.06415002990995841,1.0
1,26.0,28.0,0.0,1.0,0.034482758620689655,1.0,0.4909090909090909,0.5272727272727272,0.06666666666666667,0.12885189058084473,1.0
2,9.0,44.0,0.0,2.0,0.043478260869565216,1.0,0.2,0.8363636363636363,0.08333333333333333,0.08592497251893072,0.9622641509433962
3,36.0,17.0,0.0,2.0,0.10526315789473684,1.0,0.6909090909090909,0.34545454545454546,0.1904761904761905,0.2673939106929519,0.9056603773584906
4,15.0,38.0,0.0,1.0,0.02564102564102564,1.0,0.2962962962962963,0.7222222222222222,0.05,0.0851874054619982,1.0
5,9.0,44.0,0.0,1.0,0.022222222222222223,1.0,0.18518518518518517,0.8333333333333334,0.04347826086956522,0.06142951168339512,0.9622641509433962
6,10.0,43.0,1.0,0.0,0.0,0.0,0.18518518518518517,0.7962962962962963,0.0,-0.2715813547484405,0.07547169811320753
7,6.0,47.0,0.0,1.0,0.020833333333333332,1.0,0.12962962962962962,0.8888888888888888,0.04081632653061225,0.04856429311786321,0.9433962264150944
8,11.0,42.0,0.0,1.0,0.023255813953488372,1.0,0.2222222222222222,0.7962962962962963,0.04545454545454545,0.06947430005192663,0.8867924528301887
9,4.0,49.0,0.0,1.0,0.02,1.0,0.09259259259259259,0.9259259259259259,0.0392156862745098,0.038851434494290564,0.9056603773584906
10,136.0,396.0,1.0,11.0,0.03173987947572835,0.9,0.26929292929292925,0.7490235690235689,0.06029192704749884,0.0578246393763719,0.8641509433962264
