,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,279.0,999.0,0.0,6.0,0.005970149253731343,1.0,0.2219626168224299,0.7827102803738317,0.011869436201780414,0.03610183434004424,0.9239697443922795
1,263.0,1015.0,0.0,6.0,0.005876591576885406,1.0,0.20950155763239875,0.7951713395638629,0.011684518013631937,0.03477564561515137,0.8896713615023474
2,764.0,514.0,0.0,6.0,0.011538461538461539,1.0,0.5996884735202492,0.40498442367601245,0.022813688212927757,0.08305297730149179,0.7713223787167449
3,526.0,752.0,0.0,6.0,0.0079155672823219,1.0,0.4143302180685358,0.5903426791277259,0.015706806282722516,0.057077963254492166,0.7944053208137716
4,640.0,638.0,2.0,4.0,0.006230529595015576,0.6666666666666666,0.5015576323987538,0.5,0.01234567901234568,0.02283962366091772,0.5897235263432447
5,258.0,1020.0,0.0,6.0,0.005847953216374269,1.0,0.205607476635514,0.7990654205607477,0.011627906976744186,0.03435946325312275,0.9499217527386542
6,328.0,950.0,0.0,6.0,0.006276150627615063,1.0,0.2601246105919003,0.7445482866043613,0.012474012474012475,0.0401345293079187,0.8577203964527909
7,626.0,652.0,0.0,6.0,0.00911854103343465,1.0,0.49221183800623053,0.5124610591900312,0.018072289156626505,0.0668319938688323,0.797339593114241
8,387.0,891.0,0.0,5.0,0.005580357142857143,1.0,0.3055339049103663,0.6983632112236945,0.011098779134295227,0.041107498814115594,0.4950704225352113
9,319.0,959.0,0.0,5.0,0.005186721991701245,1.0,0.2525331254871395,0.7513639906469213,0.010319917440660475,0.0359812626789173,0.7902190923317685
10,4390.0,8390.0,2.0,56.0,0.006954102325839813,0.9666666666666666,0.3463051454073518,0.6579010690967189,0.013801303290574714,0.0452262792095004,0.7859363588941054
