,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,101.0,1177.0,0.0,6.0,0.00507185122569738,1.0,0.08333333333333333,0.9213395638629284,0.010092514718250631,0.02002066564947508,0.8648930620761608
1,86.0,1192.0,0.0,6.0,0.005008347245409015,1.0,0.07165109034267912,0.9330218068535826,0.009966777408637873,0.01835823880461248,0.7348069900886802
2,80.0,1198.0,0.0,6.0,0.0049833887043189366,1.0,0.06697819314641744,0.9376947040498442,0.009917355371900825,0.017662084097519525,0.7647365675534691
3,96.0,1182.0,0.0,6.0,0.005050505050505051,1.0,0.0794392523364486,0.9252336448598131,0.010050251256281409,0.019477696503200834,0.8669796557120502
4,119.0,1159.0,0.0,6.0,0.005150214592274678,1.0,0.09735202492211838,0.9073208722741433,0.010247651579846286,0.021898820122436755,0.6784689619196661
5,91.0,1187.0,0.0,6.0,0.005029337803855826,1.0,0.07554517133956386,0.9291277258566978,0.010008340283569643,0.018923901227726407,0.8227047470005217
6,121.0,1157.0,0.0,6.0,0.005159071367153913,1.0,0.09890965732087227,0.9057632398753894,0.010265183917878529,0.022101056054786034,0.804642670839854
7,208.0,1070.0,1.0,5.0,0.004651162790697674,0.8333333333333334,0.1658878504672897,0.8372274143302181,0.009250693802035153,-0.0007227745091455326,0.7223526343244653
8,120.0,1158.0,0.0,5.0,0.004299226139294927,1.0,0.09742790335151988,0.9064692127825409,0.008561643835616438,0.020091869140714577,0.7297339593114242
9,86.0,1192.0,0.0,5.0,0.004177109440267335,1.0,0.07092751363990647,0.9329696024941543,0.008319467554076539,0.01676570134759747,0.8108763693270735
10,1108.0,11672.0,1.0,57.0,0.004858021435947474,0.9833333333333334,0.0907451990200149,0.9136167787239312,0.009667987972809333,0.017457725843892363,0.7800195618153365
