,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,19.0,10.0,0.0,2.0,0.16666666666666666,1.0,0.6774193548387096,0.3870967741935484,0.2857142857142857,0.33044727612563335,0.9482758620689655
1,22.0,6.0,0.0,3.0,0.3333333333333333,1.0,0.8064516129032258,0.2903225806451613,0.5,0.511766315719159,0.9523809523809523
2,18.0,10.0,1.0,2.0,0.16666666666666666,0.6666666666666666,0.6451612903225806,0.3870967741935484,0.26666666666666666,0.187873826730226,0.75
3,21.0,7.0,0.0,3.0,0.3,1.0,0.7741935483870968,0.3225806451612903,0.4615384615384615,0.47434164902525694,0.9285714285714285
4,17.0,11.0,2.0,1.0,0.08333333333333333,0.3333333333333333,0.5806451612903226,0.3870967741935484,0.13333333333333333,-0.036129582063505,0.6547619047619048
5,22.0,6.0,0.0,3.0,0.3333333333333333,1.0,0.8064516129032258,0.2903225806451613,0.5,0.511766315719159,0.9285714285714285
6,21.0,7.0,0.0,3.0,0.3,1.0,0.7741935483870968,0.3225806451612903,0.4615384615384615,0.47434164902525694,0.9047619047619048
7,20.0,8.0,1.0,2.0,0.2,0.6666666666666666,0.7096774193548387,0.3225806451612903,0.30769230769230765,0.24093544077473367,0.7738095238095237
8,21.0,7.0,0.0,3.0,0.3,1.0,0.7741935483870968,0.3225806451612903,0.4615384615384615,0.47434164902525694,0.9642857142857143
9,19.0,9.0,0.0,2.0,0.18181818181818182,1.0,0.7,0.36666666666666664,0.3076923076923077,0.35125008665710444,0.9285714285714286
10,200.0,81.0,4.0,24.0,0.23651515151515148,0.8666666666666666,0.7248387096774194,0.33989247311827964,0.3685714285714286,0.35209346267382813,0.873399014778325
