,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,24.0,5.0,0.0,2.0,0.2857142857142857,1.0,0.8387096774193549,0.22580645161290322,0.4444444444444445,0.48626453908386463,0.8620689655172413
1,25.0,3.0,0.0,3.0,0.5,1.0,0.9032258064516129,0.1935483870967742,0.6666666666666666,0.6681531047810609,0.9523809523809523
2,20.0,8.0,1.0,2.0,0.2,0.6666666666666666,0.7096774193548387,0.3225806451612903,0.30769230769230765,0.24093544077473367,0.7619047619047619
3,21.0,7.0,0.0,3.0,0.3,1.0,0.7741935483870968,0.3225806451612903,0.4615384615384615,0.47434164902525694,0.8095238095238095
4,21.0,7.0,2.0,1.0,0.125,0.3333333333333333,0.7096774193548387,0.25806451612903225,0.18181818181818182,0.05630532705768135,0.6666666666666667
5,21.0,7.0,0.0,3.0,0.3,1.0,0.7741935483870968,0.3225806451612903,0.4615384615384615,0.47434164902525694,0.8452380952380952
6,22.0,6.0,0.0,3.0,0.3333333333333333,1.0,0.8064516129032258,0.2903225806451613,0.5,0.511766315719159,0.8690476190476191
7,21.0,7.0,1.0,2.0,0.2222222222222222,0.6666666666666666,0.7419354838709677,0.2903225806451613,0.3333333333333333,0.27139122803288734,0.7857142857142856
8,23.0,5.0,0.0,3.0,0.375,1.0,0.8387096774193549,0.25806451612903225,0.5454545454545454,0.5550096524257162,0.9166666666666666
9,21.0,7.0,0.0,2.0,0.2222222222222222,1.0,0.7666666666666667,0.3,0.3636363636363636,0.408248290463863,0.8571428571428571
10,219.0,62.0,4.0,24.0,0.28634920634920635,0.8666666666666666,0.7863440860215054,0.2783870967741935,0.42661227661227663,0.414675719638948,0.8326354679802955
