,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,19.0,10.0,0.0,2.0,0.16666666666666666,1.0,0.6774193548387096,0.3870967741935484,0.2857142857142857,0.33044727612563335,0.9310344827586207
1,21.0,7.0,0.0,3.0,0.3,1.0,0.7741935483870968,0.3225806451612903,0.4615384615384615,0.47434164902525694,0.9404761904761905
2,18.0,10.0,1.0,2.0,0.16666666666666666,0.6666666666666666,0.6451612903225806,0.3870967741935484,0.26666666666666666,0.187873826730226,0.7261904761904762
3,20.0,8.0,0.0,3.0,0.2727272727272727,1.0,0.7419354838709677,0.3548387096774194,0.42857142857142855,0.44136741475237473,0.9523809523809524
4,17.0,11.0,2.0,1.0,0.08333333333333333,0.3333333333333333,0.5806451612903226,0.3870967741935484,0.13333333333333333,-0.036129582063505,0.6547619047619048
5,21.0,7.0,0.0,3.0,0.3,1.0,0.7741935483870968,0.3225806451612903,0.4615384615384615,0.47434164902525694,0.9285714285714285
6,22.0,6.0,0.0,3.0,0.3333333333333333,1.0,0.8064516129032258,0.2903225806451613,0.5,0.511766315719159,0.9285714285714286
7,22.0,6.0,1.0,2.0,0.25,0.6666666666666666,0.7741935483870968,0.25806451612903225,0.36363636363636365,0.30565748974169876,0.75
8,21.0,7.0,0.0,3.0,0.3,1.0,0.7741935483870968,0.3225806451612903,0.4615384615384615,0.47434164902525694,0.9761904761904763
9,19.0,9.0,0.0,2.0,0.18181818181818182,1.0,0.7,0.36666666666666664,0.3076923076923077,0.35125008665710444,0.8928571428571429
10,200.0,81.0,4.0,24.0,0.23545454545454542,0.8666666666666666,0.7248387096774194,0.33989247311827964,0.36702297702297704,0.35152577747384617,0.868103448275862
