,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,29.0,0.0,0.0,2.0,1.0,1.0,1.0,0.06451612903225806,1.0,1.0,1.0
1,28.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0967741935483871,1.0,1.0,1.0
2,28.0,0.0,1.0,2.0,1.0,0.6666666666666666,0.967741935483871,0.06451612903225806,0.8,0.802295557085754,0.9702380952380952
3,28.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0967741935483871,1.0,1.0,1.0
4,27.0,1.0,2.0,1.0,0.5,0.3333333333333333,0.9032258064516129,0.06451612903225806,0.4,0.358167659413283,0.9761904761904762
5,28.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0967741935483871,1.0,1.0,1.0
6,28.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0967741935483871,1.0,1.0,1.0
7,28.0,0.0,3.0,0.0,0.0,0.0,0.9032258064516129,0.0,0.0,0.0,0.8392857142857142
8,28.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0967741935483871,1.0,1.0,1.0
9,28.0,0.0,0.0,2.0,1.0,1.0,1.0,0.06666666666666667,1.0,1.0,1.0
10,280.0,1.0,6.0,22.0,0.85,0.8,0.9774193548387096,0.07440860215053763,0.82,0.8160463216499038,0.9785714285714286
