,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,24.0,5.0,0.0,2.0,0.2857142857142857,1.0,0.8387096774193549,0.22580645161290322,0.4444444444444445,0.48626453908386463,0.8275862068965517
1,22.0,6.0,0.0,3.0,0.3333333333333333,1.0,0.8064516129032258,0.2903225806451613,0.5,0.511766315719159,0.9523809523809523
2,18.0,10.0,1.0,2.0,0.16666666666666666,0.6666666666666666,0.6451612903225806,0.3870967741935484,0.26666666666666666,0.187873826730226,0.7619047619047619
3,19.0,9.0,0.0,3.0,0.25,1.0,0.7096774193548387,0.3870967741935484,0.4,0.411877235523957,0.8214285714285714
4,20.0,8.0,2.0,1.0,0.1111111111111111,0.3333333333333333,0.6774193548387096,0.2903225806451613,0.16666666666666666,0.031016140346615692,0.6666666666666667
5,18.0,10.0,0.0,3.0,0.23076923076923078,1.0,0.6774193548387096,0.41935483870967744,0.375,0.38516444325982163,0.8690476190476191
6,19.0,9.0,0.0,3.0,0.25,1.0,0.7096774193548387,0.3870967741935484,0.4,0.411877235523957,0.8690476190476191
7,23.0,5.0,1.0,2.0,0.2857142857142857,0.6666666666666666,0.8064516129032258,0.22580645161290322,0.4,0.34513545272200535,0.7857142857142856
8,20.0,8.0,0.0,3.0,0.2727272727272727,1.0,0.7419354838709677,0.3548387096774194,0.42857142857142855,0.44136741475237473,0.8809523809523809
9,18.0,10.0,0.0,2.0,0.16666666666666666,1.0,0.6666666666666666,0.4,0.2857142857142857,0.32732683535398854,0.8214285714285714
10,201.0,80.0,4.0,24.0,0.23527028527028526,0.8666666666666666,0.7279569892473119,0.3367741935483871,0.3667063492063492,0.35396694390159694,0.825615763546798
