,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,2276.0,125.0,8.0,15.0,0.10714285714285714,0.6521739130434783,0.9451320132013201,0.057755775577557754,0.18404907975460122,0.24939080577634673,0.8522807525849736
1,2233.0,168.0,14.0,9.0,0.05084745762711865,0.391304347826087,0.9249174917491749,0.07301980198019802,0.09,0.11973685209004016,0.7367853973887691
2,2274.0,127.0,9.0,13.0,0.09285714285714286,0.5909090909090909,0.9438712340074288,0.05777961205117623,0.16049382716049385,0.21871793555339636,0.848301843928666
3,2211.0,190.0,11.0,11.0,0.05472636815920398,0.5,0.917044985555097,0.08295501444490301,0.09865470852017938,0.14473765173225472,0.8290011737533604
4,2228.0,173.0,9.0,13.0,0.06989247311827956,0.5909090909090909,0.9248865043334709,0.07676434172513413,0.12499999999999997,0.18486922270222514,0.8462004467835371
5,2274.0,127.0,5.0,17.0,0.11805555555555555,0.7727272727272727,0.9455220800660339,0.059430458109781266,0.20481927710843373,0.28879226070596625,0.9479004960054522
6,2278.0,122.0,14.0,9.0,0.06870229007633588,0.391304347826087,0.9438712340074288,0.0540652084193149,0.1168831168831169,0.14598449410014247,0.8425634057971014
7,2229.0,171.0,7.0,16.0,0.0855614973262032,0.6956521739130435,0.926537350392076,0.0771770532397854,0.15238095238095237,0.22687008952234355,0.893822463768116
8,2283.0,117.0,17.0,6.0,0.04878048780487805,0.2608695652173913,0.9446966570367313,0.05076351630210483,0.08219178082191782,0.09369874918915784,0.5664945652173913
9,2246.0,154.0,7.0,16.0,0.09411764705882353,0.6956521739130435,0.9335534461411473,0.070160957490714,0.16580310880829013,0.2397330276017561,0.8895289855072464
10,22532.0,1474.0,101.0,125.0,0.07906837767263984,0.5541501976284586,0.9350032996489908,0.06598717393406694,0.13802758514379854,0.19125310889736297,0.8252879530734614
