,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,2397.0,4.0,10.0,13.0,0.7647058823529411,0.5652173913043478,0.9942244224422442,0.007013201320132013,0.65,0.6546829636132797,0.951433279611756
1,2397.0,4.0,11.0,12.0,0.75,0.5217391304347826,0.9938118811881188,0.006600660066006601,0.6153846153846153,0.6226388350937753,0.9136320011589374
2,2393.0,8.0,9.0,13.0,0.6190476190476191,0.5909090909090909,0.9929839042509286,0.008666941807676434,0.6046511627906977,0.6012791810135044,0.9892658362046118
3,2395.0,6.0,11.0,11.0,0.6470588235294118,0.5,0.9929839042509286,0.0070160957490713995,0.5641025641025642,0.5653652904592631,0.8703097194350838
4,2396.0,5.0,6.0,16.0,0.7619047619047619,0.7272727272727273,0.9954601733388362,0.008666941807676434,0.7441860465116279,0.7421013728099783,0.9965166029305972
5,2397.0,4.0,5.0,17.0,0.8095238095238095,0.7727272727272727,0.9962855963681386,0.008666941807676434,0.7906976744186046,0.789042103408803,0.9987883836280338
6,2395.0,5.0,4.0,19.0,0.7916666666666666,0.8260869565217391,0.9962855963681386,0.00990507635163021,0.8085106382978724,0.8068223409497136,0.9887228260869565
7,2392.0,8.0,6.0,17.0,0.68,0.7391304347826086,0.9942220387948824,0.010317787866281469,0.7083333333333334,0.706046033940256,0.9658514492753624
8,2392.0,8.0,15.0,8.0,0.5,0.34782608695652173,0.9905076351630211,0.006603384234420141,0.41025641025641024,0.41243127749287845,0.8738949275362319
9,2391.0,9.0,11.0,12.0,0.5714285714285714,0.5217391304347826,0.9917457697069748,0.008666941807676434,0.5454545454545454,0.5418686637511314,0.986802536231884
10,23945.0,61.0,88.0,138.0,0.6895336134453781,0.6112648221343873,0.9938510921872213,0.008212397281824758,0.6441576990550271,0.6442278062532583,0.9535217562099456
