,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,128.0,47.0,0.0,2.0,0.04081632653061224,1.0,0.7344632768361582,0.2768361581920904,0.07843137254901959,0.17278375908993243,0.8742857142857143
1,142.0,33.0,0.0,2.0,0.05714285714285714,1.0,0.8135593220338984,0.1977401129943503,0.1081081081081081,0.2153307849304774,0.8571428571428571
2,130.0,45.0,1.0,1.0,0.021739130434782608,0.5,0.7401129943502824,0.2598870056497175,0.041666666666666664,0.05852889701736987,0.7085714285714285
3,138.0,37.0,1.0,1.0,0.02631578947368421,0.5,0.7853107344632768,0.21468926553672316,0.05,0.07428278077351505,0.8157142857142857
4,139.0,36.0,1.0,1.0,0.02702702702702703,0.5,0.7909604519774012,0.20903954802259886,0.05128205128205129,0.07649592889390536,0.8828571428571428
5,133.0,42.0,1.0,1.0,0.023255813953488372,0.5,0.7570621468926554,0.24293785310734464,0.04444444444444444,0.0640797403275348,0.7142857142857143
6,127.0,48.0,1.0,1.0,0.02040816326530612,0.5,0.7231638418079096,0.2768361581920904,0.039215686274509796,0.05331998815665884,0.8542857142857142
7,143.0,32.0,1.0,1.0,0.030303030303030304,0.5,0.8135593220338984,0.1864406779661017,0.05714285714285715,0.08606978946185856,0.6057142857142856
8,135.0,39.0,2.0,0.0,0.0,0.0,0.7670454545454546,0.2215909090909091,0.0,-0.05720215541782498,0.6206896551724139
9,127.0,47.0,1.0,1.0,0.020833333333333332,0.5,0.7272727272727273,0.2727272727272727,0.039999999999999994,0.05471101369155106,0.8620689655172414
10,1342.0,406.0,9.0,11.0,0.026784147146412134,0.55,0.7652510272213664,0.23587249614791989,0.0510291186467657,0.07984005269249782,0.7795615763546797
