,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,171.0,4.0,0.0,2.0,0.3333333333333333,1.0,0.9774011299435028,0.03389830508474576,0.5,0.5707138387268051,0.9842857142857142
1,172.0,3.0,0.0,2.0,0.4,1.0,0.9830508474576272,0.02824858757062147,0.5714285714285715,0.6270110502557807,0.9900000000000001
2,173.0,2.0,2.0,0.0,0.0,0.0,0.9774011299435028,0.011299435028248588,0.0,-0.011428571428571429,0.8485714285714286
3,174.0,1.0,1.0,1.0,0.5,0.5,0.9887005649717514,0.011299435028248588,0.5,0.4942857142857143,0.9557142857142857
4,172.0,3.0,2.0,0.0,0.0,0.0,0.9717514124293786,0.01694915254237288,0.0,-0.014037248126871928,0.74
5,170.0,5.0,1.0,1.0,0.16666666666666666,0.5,0.9661016949152542,0.03389830508474576,0.25,0.27534439587696735,0.8285714285714286
6,174.0,1.0,1.0,1.0,0.5,0.5,0.9887005649717514,0.011299435028248588,0.5,0.4942857142857143,0.7000000000000001
7,171.0,4.0,2.0,0.0,0.0,0.0,0.9661016949152542,0.022598870056497175,0.0,-0.016255596762165855,0.6485714285714286
8,167.0,7.0,1.0,1.0,0.125,0.5,0.9545454545454546,0.045454545454545456,0.2,0.23395413544786547,0.8994252873563219
9,172.0,2.0,0.0,2.0,0.5,1.0,0.9886363636363636,0.022727272727272728,0.6666666666666666,0.7030312038332426,1.0
10,1716.0,32.0,10.0,10.0,0.2525,0.5,0.9762390857729841,0.023767334360554702,0.3188095238095238,0.33569046363944804,0.8595139573070607
