,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,4.0,171.0,0.0,2.0,0.011560693641618497,1.0,0.03389830508474576,0.9774011299435028,0.022857142857142854,0.016255596762165855,0.35571428571428576
1,15.0,160.0,0.0,2.0,0.012345679012345678,1.0,0.096045197740113,0.9152542372881356,0.024390243902439022,0.03253000243161777,0.39999999999999997
2,10.0,165.0,0.0,2.0,0.011976047904191617,1.0,0.06779661016949153,0.943502824858757,0.023668639053254437,0.02615999989536,0.9471428571428571
3,1.0,174.0,0.0,2.0,0.011363636363636364,1.0,0.01694915254237288,0.9943502824858758,0.02247191011235955,0.008058229640253803,0.7028571428571428
4,3.0,172.0,0.0,2.0,0.011494252873563218,1.0,0.02824858757062147,0.9830508474576272,0.022727272727272724,0.014037248126871928,0.5042857142857143
5,19.0,156.0,1.0,1.0,0.006369426751592357,0.5,0.11299435028248588,0.8870056497175142,0.012578616352201259,-0.13068378995588492,0.4157142857142857
6,26.0,149.0,0.0,2.0,0.013245033112582781,1.0,0.15819209039548024,0.8531073446327684,0.0261437908496732,0.04436026928471353,0.41714285714285715
7,19.0,156.0,1.0,1.0,0.006369426751592357,0.5,0.11299435028248588,0.8870056497175142,0.012578616352201259,-0.13068378995588492,0.29000000000000004
8,4.0,170.0,0.0,2.0,0.011627906976744186,1.0,0.03409090909090909,0.9772727272727273,0.022988505747126436,0.016349562879842853,0.5330459770114943
9,4.0,170.0,0.0,2.0,0.011627906976744186,1.0,0.03409090909090909,0.9772727272727273,0.022988505747126436,0.016349562879842853,0.5890804597701149
10,105.0,1643.0,2.0,18.0,0.010798001036461122,0.9,0.06953004622496148,0.9395223420647149,0.021339324370079717,-0.008726710801110125,0.5154983579638752
