,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,18.0,157.0,1.0,1.0,0.006329113924050633,0.5,0.10734463276836158,0.8926553672316384,0.012499999999999999,-0.13560491603226496,0.41714285714285715
1,17.0,158.0,0.0,2.0,0.0125,1.0,0.10734463276836158,0.903954802259887,0.02469135802469136,0.03484660262185848,0.41714285714285715
2,29.0,146.0,0.0,2.0,0.013513513513513514,1.0,0.1751412429378531,0.8361581920903954,0.026666666666666665,0.04732211152708889,0.5685714285714285
3,19.0,156.0,0.0,2.0,0.012658227848101266,1.0,0.11864406779661017,0.8926553672316384,0.024999999999999998,0.037071847548388985,0.6128571428571429
4,20.0,155.0,0.0,2.0,0.012738853503184714,1.0,0.12429378531073447,0.8870056497175142,0.025157232704402517,0.038155851082010195,0.44285714285714284
5,10.0,165.0,1.0,1.0,0.006024096385542169,0.5,0.062146892655367235,0.9378531073446328,0.011904761904761906,-0.19388637431790562,0.10285714285714281
6,20.0,155.0,1.0,1.0,0.00641025641025641,0.5,0.11864406779661017,0.8813559322033898,0.012658227848101266,-0.12607465830311831,0.10857142857142854
7,23.0,152.0,0.0,2.0,0.012987012987012988,1.0,0.14124293785310735,0.8700564971751412,0.025641025641025647,0.041314217456069786,0.6228571428571429
8,35.0,139.0,0.0,2.0,0.014184397163120567,1.0,0.21022727272727273,0.8011363636363636,0.027972027972027972,0.05341519762585653,0.514367816091954
9,10.0,164.0,0.0,2.0,0.012048192771084338,1.0,0.06818181818181818,0.9431818181818182,0.02380952380952381,0.026313967239878496,0.4454022988505747
10,201.0,1547.0,3.0,17.0,0.010939366450586659,0.85,0.12332113507960965,0.8846013097072418,0.021600082457120116,-0.017712615355213755,0.42526272577996715
