,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,68.0,107.0,0.0,2.0,0.01834862385321101,1.0,0.3954802259887006,0.615819209039548,0.03603603603603604,0.08443785278512234,0.8657142857142858
1,62.0,113.0,0.0,2.0,0.017391304347826087,1.0,0.3615819209039548,0.6497175141242938,0.03418803418803419,0.07849516343845532,0.7885714285714286
2,50.0,125.0,0.0,2.0,0.015748031496062992,1.0,0.2937853107344633,0.7175141242937854,0.031007751937984496,0.06707784709055375,0.6457142857142857
3,69.0,106.0,0.0,2.0,0.018518518518518517,1.0,0.4011299435028249,0.6101694915254238,0.03636363636363636,0.08544932592822077,0.6814285714285714
4,65.0,110.0,1.0,1.0,0.009009009009009009,0.5,0.3728813559322034,0.6271186440677966,0.017699115044247787,-0.028102505044048823,0.5942857142857143
5,80.0,95.0,1.0,1.0,0.010416666666666666,0.5,0.4576271186440678,0.5423728813559322,0.020408163265306124,-0.009092412093166349,0.39714285714285713
6,58.0,117.0,0.0,2.0,0.01680672268907563,1.0,0.3389830508474576,0.672316384180791,0.03305785123966942,0.0746339607098303,0.6657142857142857
7,79.0,96.0,0.0,2.0,0.02040816326530612,1.0,0.4576271186440678,0.5536723163841808,0.039999999999999994,0.0959834776841212,0.62
8,63.0,111.0,0.0,2.0,0.017699115044247787,1.0,0.3693181818181818,0.6420454545454546,0.034782608695652174,0.0800518599074465,0.7327586206896551
9,71.0,103.0,1.0,1.0,0.009615384615384616,0.5,0.4090909090909091,0.5909090909090909,0.01886792452830189,-0.01982336778166842,0.5775862068965516
10,665.0,1083.0,3.0,17.0,0.015396153950530844,0.85,0.38575051361068313,0.6221655110426296,0.03024111212988685,0.05091112026248666,0.6568916256157635
