,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,9.0,2.0,1.0,2.0,0.5,0.6666666666666666,0.7857142857142857,0.2857142857142857,0.5714285714285715,0.4403855060505443,0.7727272727272728
1,9.0,2.0,0.0,3.0,0.6,1.0,0.8571428571428571,0.35714285714285715,0.7499999999999999,0.7006490497453707,0.9696969696969697
2,11.0,0.0,2.0,1.0,1.0,0.3333333333333333,0.8571428571428571,0.07142857142857142,0.5,0.5310850045437943,0.9393939393939394
3,11.0,0.0,0.0,3.0,1.0,1.0,1.0,0.21428571428571427,1.0,1.0,1.0
4,10.0,1.0,0.0,3.0,0.75,1.0,0.9285714285714286,0.2857142857142857,0.8571428571428571,0.8257228238447705,1.0
5,9.0,2.0,0.0,2.0,0.5,1.0,0.8461538461538461,0.3076923076923077,0.6666666666666666,0.6396021490668313,0.9545454545454545
6,10.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9230769230769231,0.23076923076923078,0.8,0.778498944161523,1.0
7,8.0,3.0,0.0,2.0,0.4,1.0,0.7692307692307693,0.38461538461538464,0.5714285714285715,0.5393598899705937,1.0
8,8.0,2.0,0.0,3.0,0.6,1.0,0.8461538461538461,0.38461538461538464,0.7499999999999999,0.6928203230275508,0.8666666666666667
9,8.0,2.0,0.0,3.0,0.6,1.0,0.8461538461538461,0.38461538461538464,0.7499999999999999,0.6928203230275508,0.9
10,93.0,15.0,3.0,24.0,0.6616666666666665,0.9,0.8659340659340659,0.2906593406593406,0.7216666666666667,0.6840944013438529,0.9403030303030304
