,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,14.0,10.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0
1,20.0,4.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0
2,17.0,7.0,0.0,0.0,0.0,0.0,0.7083333333333334,0.2916666666666667,0.0,0.0,0.0
3,16.0,8.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
4,18.0,6.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
5,19.0,4.0,0.0,1.0,0.2,1.0,0.8333333333333334,0.20833333333333334,0.33333333333333337,0.40646942234853023,1.0
6,19.0,4.0,0.0,1.0,0.2,1.0,0.8333333333333334,0.20833333333333334,0.33333333333333337,0.40646942234853023,0.9130434782608696
7,18.0,5.0,0.0,1.0,0.16666666666666666,1.0,0.7916666666666666,0.25,0.2857142857142857,0.36115755925730764,1.0
8,17.0,6.0,0.0,1.0,0.14285714285714285,1.0,0.75,0.2916666666666667,0.25,0.32494624495722557,0.891304347826087
9,20.0,3.0,0.0,1.0,0.25,1.0,0.875,0.16666666666666666,0.4,0.4662524041201569,0.9565217391304348
10,178.0,57.0,0.0,5.0,0.09595238095238094,0.5,0.7625,0.2583333333333333,0.16023809523809524,0.1965295053031751,0.47608695652173916
