,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,21.0,3.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0
2,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,23.0,1.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.041666666666666664,0.0,0.0,0.0
4,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,23.0,0.0,1.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,1.0
6,23.0,0.0,1.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,1.0
7,23.0,0.0,1.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,1.0
8,23.0,0.0,1.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.9782608695652174
9,23.0,0.0,1.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,1.0
10,231.0,4.0,5.0,0.0,0.0,0.0,0.9625000000000001,0.016666666666666666,0.0,0.0,0.4978260869565217
