,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,22.0,2.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0
2,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,22.0,2.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0
4,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,23.0,0.0,0.0,1.0,1.0,1.0,1.0,0.041666666666666664,1.0,1.0,1.0
6,23.0,0.0,0.0,1.0,1.0,1.0,1.0,0.041666666666666664,1.0,1.0,1.0
7,23.0,0.0,0.0,1.0,1.0,1.0,1.0,0.041666666666666664,1.0,1.0,1.0
8,22.0,1.0,0.0,1.0,0.5,1.0,0.9583333333333334,0.08333333333333333,0.6666666666666666,0.6915640748081247,0.9782608695652174
9,23.0,0.0,0.0,1.0,1.0,1.0,1.0,0.041666666666666664,1.0,1.0,1.0
10,230.0,5.0,0.0,5.0,0.45,0.5,0.9791666666666666,0.041666666666666664,0.4666666666666666,0.46915640748081244,0.4978260869565217
