,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,190.0,3.0,0.0,0.0,0.0,0.0,0.9844559585492227,0.015544041450777202,0.0,0.0,0.0
1,187.0,6.0,0.0,0.0,0.0,0.0,0.9689119170984456,0.031088082901554404,0.0,0.0,0.0
2,185.0,8.0,0.0,0.0,0.0,0.0,0.9585492227979274,0.04145077720207254,0.0,0.0,0.0
3,191.0,1.0,1.0,0.0,0.0,0.0,0.9896373056994818,0.0051813471502590676,0.0,-0.005208333333333333,0.9895833333333334
4,190.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9896373056994818,0.015544041450777202,0.5,0.5743353646704259,1.0
5,188.0,4.0,0.0,1.0,0.2,1.0,0.9792746113989638,0.025906735751295335,0.33333333333333337,0.4425306015783918,0.9869791666666667
6,188.0,4.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.020833333333333332,0.0,0.0,0.0
7,188.0,4.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.020833333333333332,0.0,0.0,0.0
8,186.0,6.0,0.0,0.0,0.0,0.0,0.96875,0.03125,0.0,0.0,0.0
9,186.0,6.0,0.0,0.0,0.0,0.0,0.96875,0.03125,0.0,0.0,0.0
10,1879.0,44.0,1.0,2.0,0.05333333333333333,0.2,0.9766299654576855,0.02388816925734024,0.08333333333333334,0.10116576329154844,0.29765625
