,id,nameProject,testCase,isFlaky,prediction
17,19772.0,querydsl,com.querydsl.jpa.jpqlserializertest.stringcontainsic,False,False
18,19773.0,querydsl,com.querydsl.jpa.jpqlserializertest.substring,False,False
34,19789.0,querydsl,com.querydsl.jpa.jpaquerymixintest.orderby_operation,False,False
59,19815.0,querydsl,com.querydsl.jpa.jpacollectionanyvisitortest.simple_booleanoperation_longpath,False,False
75,19833.0,querydsl,com.querydsl.jpa.hibernatequeryfactorytest.from,False,False
76,19834.0,querydsl,com.querydsl.jpa.hibernatequeryfactorytest.delete,False,False
81,19839.0,querydsl,com.querydsl.jpa.jpqltemplatestest.getprecedence,False,False
95,19854.0,querydsl,com.querydsl.jpa.querymutabilitytest.query,False,False
114,19876.0,querydsl,com.querydsl.collections.collquerytest.instanceof,False,False
155,19917.0,querydsl,com.querydsl.collections.groupbytest.first_set_and_list,False,False
157,19919.0,querydsl,com.querydsl.collections.groupbytest.classcastexception,False,False
178,19942.0,querydsl,com.querydsl.collections.documenttest.test2,False,False
181,19945.0,querydsl,com.querydsl.collections.querymutabilitytest.test,False,False
189,19953.0,querydsl,com.querydsl.collections.serializationtest.onesource_projectedlist,False,False
197,19961.0,querydsl,com.querydsl.collections.serializationtest.pairsastuple,False,False
201,19965.0,querydsl,com.querydsl.sql.relationalpathextractortest.subquery,False,False
203,19969.0,querydsl,com.querydsl.sql.sqlcloselistenertest.fetch,False,False
209,19975.0,querydsl,com.querydsl.sql.relationalpathtest.in_tuple,False,False
230,19996.0,querydsl,com.querydsl.sql.sqlserializertest.joinwithoutcodegeneration,False,False
231,19997.0,querydsl,com.querydsl.sql.sqlserializertest.leftjoinwithoutcodegeneration,False,False
237,20003.0,querydsl,com.querydsl.sql.sqlserializertest.join_to_function_in_derby,False,False
241,20007.0,querydsl,com.querydsl.sql.sqlserializertest.override,False,False
243,20009.0,querydsl,com.querydsl.sql.sqlserializertest.columnoverrides2,False,False
255,20021.0,querydsl,com.querydsl.sql.sqlbindingstest.empty,False,False
259,20025.0,querydsl,com.querydsl.sql.h2templatestest.createtemplates,False,False
267,20033.0,querydsl,com.querydsl.sql.sqlserver2012templatestest.delete_limit,False,False
278,20044.0,querydsl,com.querydsl.sql.multikeytest.tostring_,False,False
280,20046.0,querydsl,com.querydsl.sql.oracletemplatestest.union,False,False
