,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,258.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,258.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,258.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,257.0,0.0,0.0,1.0,1.0,1.0,1.0,0.003875968992248062,1.0,1.0,1.0
4,257.0,0.0,0.0,1.0,1.0,1.0,1.0,0.003875968992248062,1.0,1.0,1.0
5,255.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9922480620155039,0.011627906976744186,0.5,0.5750993823774244,0.9961089494163424
6,257.0,0.0,0.0,1.0,1.0,1.0,1.0,0.003875968992248062,1.0,1.0,1.0
7,257.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,256.0,1.0,0.0,0.0,0.0,0.0,0.9961089494163424,0.0038910505836575876,0.0,0.0,0.0
9,257.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,2570.0,3.0,0.0,4.0,0.3333333333333333,0.4,0.9988357011431847,0.002714686453714596,0.35,0.35750993823774246,0.39961089494163426
