,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,86.0,9.0,1.0,3.0,0.25,0.75,0.898989898989899,0.12121212121212122,0.375,0.39532774888453315,0.9447368421052631
1,88.0,7.0,1.0,3.0,0.3,0.75,0.9191919191919192,0.10101010101010101,0.4285714285714285,0.44192271159988394,0.9526315789473684
2,84.0,11.0,0.0,3.0,0.21428571428571427,1.0,0.8877551020408163,0.14285714285714285,0.35294117647058826,0.435285750066007,0.9614035087719298
3,84.0,11.0,0.0,3.0,0.21428571428571427,1.0,0.8877551020408163,0.14285714285714285,0.35294117647058826,0.435285750066007,1.0
4,82.0,12.0,0.0,4.0,0.25,1.0,0.8775510204081632,0.16326530612244897,0.4,0.46699583122655247,0.9680851063829787
5,81.0,13.0,0.0,4.0,0.23529411764705882,1.0,0.8673469387755102,0.17346938775510204,0.38095238095238093,0.4502815139468339,0.9813829787234042
6,83.0,11.0,1.0,3.0,0.21428571428571427,0.75,0.8775510204081632,0.14285714285714285,0.3333333333333333,0.3579145664532706,0.8803191489361702
7,81.0,13.0,0.0,4.0,0.23529411764705882,1.0,0.8673469387755102,0.17346938775510204,0.38095238095238093,0.4502815139468339,0.9813829787234042
8,87.0,7.0,1.0,3.0,0.3,0.75,0.9183673469387755,0.10204081632653061,0.4285714285714285,0.4415688796045336,0.9148936170212766
9,87.0,7.0,1.0,3.0,0.3,0.75,0.9183673469387755,0.10204081632653061,0.4285714285714285,0.4415688796045336,0.875
10,843.0,101.0,5.0,33.0,0.25134453781512606,0.875,0.892022263450835,0.13650793650793652,0.3861834733893557,0.4316433145398989,0.9459835759611795
