,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,88.0,7.0,1.0,3.0,0.3,0.75,0.9191919191919192,0.10101010101010101,0.4285714285714285,0.44192271159988394,0.8842105263157894
1,93.0,2.0,1.0,3.0,0.6,0.75,0.9696969696969697,0.050505050505050504,0.6666666666666665,0.6554492061282169,0.9315789473684211
2,89.0,6.0,0.0,3.0,0.3333333333333333,1.0,0.9387755102040817,0.09183673469387756,0.5,0.5588208136374181,0.9894736842105264
3,87.0,8.0,0.0,3.0,0.2727272727272727,1.0,0.9183673469387755,0.11224489795918367,0.42857142857142855,0.4997607082897166,0.9929824561403509
4,82.0,12.0,0.0,4.0,0.25,1.0,0.8775510204081632,0.16326530612244897,0.4,0.46699583122655247,0.9627659574468085
5,84.0,10.0,0.0,4.0,0.2857142857142857,1.0,0.8979591836734694,0.14285714285714285,0.4444444444444445,0.5052911526399114,0.9893617021276596
6,87.0,7.0,1.0,3.0,0.3,0.75,0.9183673469387755,0.10204081632653061,0.4285714285714285,0.4415688796045336,0.8457446808510638
7,88.0,6.0,0.0,4.0,0.4,1.0,0.9387755102040817,0.10204081632653061,0.5714285714285715,0.611937974885023,0.9707446808510639
8,84.0,10.0,1.0,3.0,0.23076923076923078,0.75,0.8877551020408163,0.1326530612244898,0.3529411764705882,0.37543979537841804,0.848404255319149
9,90.0,4.0,1.0,3.0,0.42857142857142855,0.75,0.9489795918367347,0.07142857142857142,0.5454545454545454,0.5435230893060919,0.9202127659574467
10,872.0,72.0,5.0,33.0,0.3401115551115551,0.875,0.9215419501133788,0.10698824984539271,0.4766649690179102,0.5100710162695766,0.9335479656588278
