,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,77.0,18.0,1.0,3.0,0.14285714285714285,0.75,0.8080808080808081,0.21212121212121213,0.24,0.26997954209923214,0.8394736842105263
1,70.0,25.0,1.0,3.0,0.10714285714285714,0.75,0.7373737373737373,0.2828282828282828,0.1875,0.21284906172049214,0.881578947368421
2,79.0,16.0,0.0,3.0,0.15789473684210525,1.0,0.8367346938775511,0.19387755102040816,0.2727272727272727,0.36235609427491594,0.9578947368421052
3,73.0,22.0,0.0,3.0,0.12,1.0,0.7755102040816326,0.25510204081632654,0.21428571428571425,0.3036618618064993,0.9859649122807017
4,74.0,20.0,0.0,4.0,0.16666666666666666,1.0,0.7959183673469388,0.24489795918367346,0.2857142857142857,0.3622232374639502,0.9202127659574468
5,71.0,23.0,0.0,4.0,0.14814814814814814,1.0,0.7653061224489796,0.2755102040816326,0.25806451612903225,0.33451327802604325,0.9707446808510638
6,78.0,16.0,1.0,3.0,0.15789473684210525,0.75,0.826530612244898,0.19387755102040816,0.2608695652173913,0.29018317289538,0.8590425531914894
7,77.0,17.0,0.0,4.0,0.19047619047619047,1.0,0.826530612244898,0.21428571428571427,0.32,0.39500426427359775,0.9335106382978725
8,73.0,21.0,1.0,3.0,0.125,0.75,0.7755102040816326,0.24489795918367346,0.21428571428571427,0.2422979764116964,0.8058510638297872
9,71.0,23.0,2.0,2.0,0.08,0.5,0.7448979591836735,0.25510204081632654,0.13793103448275865,0.1158899768684082,0.7579787234042553
10,743.0,201.0,6.0,32.0,0.13960804789752157,0.85,0.7892393320964749,0.23725005153576584,0.2391378102842169,0.2888958465840215,0.8912252706233668
